step,drone_id,x,y,z
0,0,1,1,3
0,1,28,2,3
0,2,3,27,3
1,0,0,0,2
1,1,27,1,2
1,2,2,26,2
2,0,0,0,2
2,1,26,0,3
2,2,1,25,1
3,0,0,0,2
3,1,26,0,3
3,2,0,24,0
4,0,0,0,2
4,1,26,0,3
4,2,0,24,0
5,0,0,0,2
5,1,26,0,3
5,2,0,24,0
6,0,0,0,2
6,1,26,0,3
6,2,0,24,0
7,0,0,0,2
7,1,26,0,3
7,2,0,24,0
8,0,0,0,2
8,1,26,0,3
8,2,0,24,0
9,0,0,0,2
9,1,26,0,3
9,2,0,24,0
10,0,0,0,2
10,1,26,0,3
10,2,0,24,0
11,0,0,0,2
11,1,26,0,3
11,2,0,24,0
12,0,0,0,2
12,1,26,0,3
12,2,0,24,0
13,0,0,0,2
13,1,26,0,3
13,2,0,24,0
14,0,0,0,2
14,1,26,0,3
14,2,0,24,0
15,0,0,0,2
15,1,26,0,3
15,2,0,24,0
16,0,0,0,2
16,1,26,0,3
16,2,0,24,0
17,0,0,0,2
17,1,26,0,3
17,2,0,24,0
18,0,0,0,2
18,1,26,0,3
18,2,0,24,0
19,0,0,0,2
19,1,26,0,3
19,2,0,24,0
20,0,0,0,2
20,1,26,0,3
20,2,0,24,0
21,0,0,0,2
21,1,26,0,3
21,2,0,24,0
22,0,0,0,2
22,1,26,0,3
22,2,0,24,0
23,0,0,0,2
23,1,26,0,3
23,2,0,24,0
24,0,0,0,2
24,1,26,0,3
24,2,0,24,0
25,0,0,0,2
25,1,26,0,3
25,2,0,24,0
26,0,0,0,2
26,1,26,0,3
26,2,0,24,0
27,0,0,0,2
27,1,26,0,3
27,2,0,24,0
28,0,0,0,2
28,1,26,0,3
28,2,0,24,0
29,0,0,0,2
29,1,26,0,3
29,2,0,24,0
30,0,0,0,2
30,1,26,0,3
30,2,0,24,0
31,0,0,0,2
31,1,26,0,3
31,2,0,24,0
32,0,0,0,2
32,1,26,0,3
32,2,0,24,0
33,0,0,0,2
33,1,26,0,3
33,2,0,24,0
34,0,0,0,2
34,1,26,0,3
34,2,0,24,0
35,0,0,0,2
35,1,26,0,3
35,2,0,24,0
36,0,0,0,2
36,1,26,0,3
36,2,0,24,0
37,0,0,0,2
37,1,26,0,3
37,2,0,24,0
38,0,0,0,2
38,1,26,0,3
38,2,0,24,0
39,0,0,0,2
39,1,26,0,3
39,2,0,24,0
40,0,0,0,2
40,1,26,0,3
40,2,0,24,0
41,0,0,0,2
41,1,26,0,3
41,2,0,24,0
42,0,0,0,2
42,1,26,0,3
42,2,0,24,0
43,0,0,0,2
43,1,26,0,3
43,2,0,24,0
44,0,0,0,2
44,1,26,0,3
44,2,0,24,0
45,0,0,0,2
45,1,26,0,3
45,2,0,24,0
46,0,0,0,2
46,1,26,0,3
46,2,0,24,0
47,0,0,0,2
47,1,26,0,3
47,2,0,24,0
48,0,0,0,2
48,1,26,0,3
48,2,0,24,0
49,0,0,0,2
49,1,26,0,3
49,2,0,24,0
50,0,0,0,2
50,1,26,0,3
50,2,0,24,0
51,0,0,0,2
51,1,26,0,3
51,2,0,24,0
52,0,0,0,2
52,1,26,0,3
52,2,0,24,0
53,0,0,0,2
53,1,26,0,3
53,2,0,24,0
54,0,0,0,2
54,1,26,0,3
54,2,0,24,0
55,0,0,0,2
55,1,26,0,3
55,2,0,24,0
56,0,0,0,2
56,1,26,0,3
56,2,0,24,0
57,0,0,0,2
57,1,26,0,3
57,2,0,24,0
58,0,0,0,2
58,1,26,0,3
58,2,0,24,0
59,0,0,0,2
59,1,26,0,3
59,2,0,24,0
60,0,0,0,2
60,1,26,0,3
60,2,0,24,0
61,0,0,0,2
61,1,26,0,3
61,2,0,24,0
62,0,0,0,2
62,1,26,0,3
62,2,0,24,0
63,0,0,0,2
63,1,26,0,3
63,2,0,24,0
64,0,0,0,2
64,1,26,0,3
64,2,0,24,0
65,0,0,0,2
65,1,26,0,3
65,2,0,24,0
66,0,0,0,2
66,1,26,0,3
66,2,0,24,0
67,0,0,0,2
67,1,26,0,3
67,2,0,24,0
68,0,0,0,2
68,1,26,0,3
68,2,0,24,0
69,0,0,0,2
69,1,26,0,3
69,2,0,24,0
70,0,0,0,2
70,1,26,0,3
70,2,0,24,0
71,0,0,0,2
71,1,26,0,3
71,2,0,24,0
72,0,0,0,2
72,1,26,0,3
72,2,0,24,0
73,0,0,0,2
73,1,26,0,3
73,2,0,24,0
74,0,0,0,2
74,1,26,0,3
74,2,0,24,0
75,0,0,0,2
75,1,26,0,3
75,2,0,24,0
76,0,0,0,2
76,1,25,1,4
76,2,0,24,0
77,0,0,0,2
77,1,24,0,3
77,2,0,24,0
78,0,0,0,2
78,1,24,0,3
78,2,0,24,0
79,0,0,0,2
79,1,24,0,3
79,2,0,24,0
80,0,0,0,2
80,1,24,0,3
80,2,0,24,0
81,0,0,0,2
81,1,24,0,3
81,2,0,24,0
82,0,0,0,2
82,1,24,0,3
82,2,0,24,0
