step,drone_id,x,y,z
0,0,1,1,3
0,1,28,2,3
0,2,3,27,3
1,0,2,2,3
1,1,28,2,3
1,2,3,27,3
2,0,2,2,3
2,1,27,3,3
2,2,3,27,3
3,0,2,2,3
3,1,27,3,3
3,2,4,28,3
4,0,3,1,2
4,1,27,3,3
4,2,4,28,3
5,0,3,1,2
5,1,26,2,4
5,2,4,28,3
6,0,3,1,2
6,1,26,2,4
6,2,5,27,4
7,0,4,1,2
7,1,26,2,4
7,2,5,27,4
8,0,4,1,2
8,1,27,3,4
8,2,5,27,4
9,0,4,1,2
9,1,27,3,4
9,2,4,26,4
10,0,5,2,3
10,1,27,3,4
10,2,4,26,4
11,0,5,2,3
11,1,28,4,5
11,2,4,26,4
12,0,5,2,3
12,1,28,4,5
12,2,3,25,3
13,0,6,3,3
13,1,28,4,5
13,2,3,25,3
14,0,6,3,3
14,1,29,5,5
14,2,3,25,3
15,0,6,3,3
15,1,29,5,5
15,2,3,25,4
16,0,7,4,3
16,1,29,5,5
16,2,3,25,4
17,0,7,4,3
17,1,29,6,6
17,2,3,25,4
18,0,7,4,3
18,1,29,6,6
18,2,4,25,5
19,0,7,5,3
19,1,29,6,6
19,2,4,25,5
20,0,7,5,3
20,1,28,5,5
20,2,4,25,5
21,0,7,5,3
21,1,28,5,5
21,2,3,24,6
22,0,8,5,2
22,1,28,5,5
22,2,3,24,6
23,0,8,5,2
23,1,27,5,6
23,2,3,24,6
24,0,8,5,2
24,1,27,5,6
24,2,2,24,5
25,0,8,6,2
25,1,27,5,6
25,2,2,24,5
26,0,8,6,2
26,1,26,6,6
26,2,2,24,5
27,0,8,6,2
27,1,26,6,6
27,2,2,23,6
28,0,7,5,2
28,1,26,6,6
28,2,2,23,6
29,0,7,5,2
29,1,27,7,5
29,2,2,23,6
30,0,7,5,2
30,1,27,7,5
30,2,3,22,6
31,0,7,6,3
31,1,27,7,5
31,2,3,22,6
32,0,7,6,3
32,1,26,8,5
32,2,3,22,6
33,0,7,6,3
33,1,26,8,5
33,2,4,22,5
34,0,7,6,4
34,1,26,8,5
34,2,4,22,5
35,0,7,6,4
35,1,25,9,4
35,2,4,22,5
36,0,7,6,4
36,1,25,9,4
36,2,5,23,4
37,0,7,7,5
37,1,25,9,4
37,2,5,23,4
38,0,7,7,5
38,1,24,8,5
38,2,5,23,4
39,0,7,7,5
39,1,24,8,5
39,2,6,23,5
40,0,7,8,4
40,1,24,8,5
40,2,6,23,5
41,0,7,8,4
41,1,23,7,5
41,2,6,23,5
42,0,7,8,4
42,1,23,7,5
42,2,6,23,4
43,0,7,9,3
43,1,23,7,5
43,2,6,23,4
44,0,7,9,3
44,1,24,7,6
44,2,6,23,4
45,0,7,9,3
45,1,24,7,6
45,2,7,24,5
46,0,6,9,3
46,1,24,7,6
46,2,7,24,5
47,0,6,9,3
47,1,23,8,7
47,2,7,24,5
48,0,6,9,3
48,1,23,8,7
48,2,6,25,5
49,0,7,9,3
49,1,23,8,7
49,2,6,25,5
50,0,7,9,3
50,1,22,9,7
50,2,6,25,5
51,0,7,9,3
51,1,22,9,7
51,2,6,24,4
52,0,7,8,2
52,1,22,9,7
52,2,6,24,4
53,0,7,8,2
53,1,23,10,8
53,2,6,24,4
54,0,7,8,2
54,1,23,10,8
54,2,6,25,5
55,0,8,9,3
55,1,23,10,8
55,2,6,25,5
56,0,8,9,3
56,1,23,11,8
56,2,6,25,5
57,0,8,9,3
57,1,23,11,8
57,2,7,24,5
58,0,9,9,4
58,1,23,11,8
58,2,7,24,5
59,0,9,9,4
59,1,22,11,7
59,2,7,24,5
60,0,9,9,4
60,1,22,11,7
60,2,8,23,6
61,0,10,10,3
61,1,22,11,7
61,2,8,23,6
62,0,10,10,3
62,1,21,12,7
62,2,8,23,6
63,0,10,10,3
63,1,21,12,7
63,2,9,24,5
64,0,11,11,4
64,1,21,12,7
64,2,9,24,5
65,0,11,11,4
65,1,20,12,8
65,2,9,24,5
66,0,11,11,4
66,1,20,12,8
66,2,10,23,6
67,0,12,12,5
67,1,20,12,8
67,2,10,23,6
68,0,12,12,5
68,1,19,11,8
68,2,10,23,6
69,0,12,12,5
69,1,19,11,8
69,2,10,22,7
70,0,13,13,4
70,1,19,11,8
70,2,10,22,7
71,0,13,13,4
71,1,18,11,8
71,2,10,22,7
72,0,13,13,4
72,1,18,11,8
72,2,10,21,8
73,0,13,12,5
73,1,18,11,8
73,2,10,21,8
74,0,13,12,5
74,1,19,10,7
74,2,10,21,8
75,0,13,12,5
75,1,19,10,7
75,2,10,22,9
76,0,14,12,4
76,1,19,10,7
76,2,10,22,9
77,0,14,12,4
77,1,19,11,8
77,2,10,22,9
78,0,14,12,4
78,1,19,11,8
78,2,10,21,9
79,0,15,13,3
79,1,19,11,8
79,2,10,21,9
80,0,15,13,3
80,1,19,12,9
80,2,10,21,9
81,0,15,13,3
81,1,19,12,9
81,2,11,20,9
82,0,14,14,4
82,1,19,12,9
82,2,11,20,9
