step,drone_id,x,y,z
0,0,1,1,2
0,1,28,2,2
0,2,3,27,1
1,0,1,2,2
1,1,28,2,2
1,2,3,27,1
2,0,1,2,2
2,1,28,1,2
2,2,3,27,1
3,0,1,2,2
3,1,28,1,2
3,2,4,26,1
4,0,0,2,2
4,1,28,1,2
4,2,4,26,1
5,0,0,2,2
5,1,28,0,3
5,2,4,26,1
6,0,0,2,2
6,1,28,0,3
6,2,3,26,1
7,0,0,1,2
7,1,28,0,3
7,2,3,26,1
8,0,0,1,2
8,1,28,0,4
8,2,3,26,1
9,0,0,1,2
9,1,28,0,4
9,2,3,27,1
10,0,1,0,2
10,1,28,0,4
10,2,3,27,1
11,0,1,0,2
11,1,29,0,4
11,2,3,27,1
12,0,1,0,2
12,1,29,0,4
12,2,2,28,2
13,0,0,0,3
13,1,29,0,4
13,2,2,28,2
14,0,0,0,3
14,1,29,1,3
14,2,2,28,2
15,0,0,0,3
15,1,29,1,3
15,2,1,28,2
16,0,0,0,3
16,1,29,1,3
16,2,0,28,3
17,0,0,0,2
17,1,29,1,3
17,2,0,28,3
18,0,0,0,2
18,1,28,0,3
18,2,0,28,3
19,0,0,0,2
19,1,28,0,4
19,2,0,28,3
20,0,0,0,2
20,1,28,0,4
20,2,0,29,4
21,0,0,0,2
21,1,28,0,5
21,2,0,29,4
22,0,0,0,2
22,1,28,0,5
22,2,0,29,3
23,0,0,0,2
23,1,27,0,6
23,2,0,29,3
24,0,0,1,2
24,1,27,0,6
24,2,0,29,3
25,0,0,1,2
25,1,27,0,7
25,2,0,29,3
26,0,0,0,3
26,1,27,0,7
26,2,0,29,3
27,0,0,0,3
27,1,28,0,8
27,2,0,29,3
28,0,0,0,3
28,1,28,0,8
28,2,0,29,4
29,0,0,0,3
29,1,28,1,9
29,2,0,29,4
30,0,0,0,3
30,1,28,1,9
30,2,0,29,5
31,0,0,0,3
31,1,29,1,10
31,2,0,29,5
32,0,0,0,3
32,1,29,1,10
32,2,0,29,6
33,0,0,0,4
33,1,29,1,10
33,2,0,29,6
34,0,0,0,4
34,1,29,1,11
34,2,0,29,6
35,0,0,0,4
35,1,29,1,11
35,2,0,29,7
36,0,0,0,4
36,1,29,1,12
36,2,0,29,7
37,0,0,0,4
37,1,29,0,12
37,2,0,29,7
38,0,0,0,3
38,1,29,0,12
38,2,0,29,7
39,0,0,0,3
39,1,29,0,12
39,2,0,28,7
40,0,0,0,4
40,1,29,0,12
40,2,0,28,7
41,0,1,0,5
41,1,29,0,12
41,2,0,28,7
42,0,1,0,6
42,1,29,0,12
42,2,0,28,7
43,0,1,0,6
43,1,29,0,11
43,2,0,28,7
44,0,0,0,6
44,1,29,0,11
44,2,0,28,7
45,0,0,0,6
45,1,29,0,11
45,2,0,28,8
46,0,0,0,6
