step,drone_id,x,y,z
0,0,1,1,4
0,1,28,2,12
0,2,3,27,4
1,0,0,0,4
1,1,28,2,12
1,2,3,27,4
2,0,0,0,4
2,1,28,2,12
2,2,3,27,4
3,0,0,0,4
3,1,28,2,12
3,2,3,26,4
4,0,0,1,5
4,1,28,2,12
4,2,3,26,4
5,0,0,1,5
5,1,29,2,11
5,2,3,26,4
6,0,0,1,5
6,1,29,2,11
6,2,3,26,5
7,0,0,1,5
7,1,29,2,11
7,2,3,26,5
8,0,0,1,5
8,1,29,2,11
8,2,3,26,5
9,0,0,1,5
9,1,29,2,11
9,2,2,27,4
10,0,0,2,4
10,1,29,2,11
10,2,2,27,4
11,0,0,2,4
11,1,29,2,11
11,2,2,27,4
12,0,0,2,4
12,1,29,2,11
12,2,1,27,5
13,0,0,2,4
13,1,29,2,11
13,2,1,27,5
14,0,0,2,4
14,1,29,1,11
14,2,1,27,5
15,0,0,2,4
15,1,29,1,11
15,2,1,26,5
16,0,0,2,3
16,1,29,1,11
16,2,1,26,5
17,0,0,2,3
17,1,28,0,11
17,2,1,26,5
18,0,0,2,3
18,1,28,0,11
18,2,1,25,4
19,0,0,2,3
19,1,28,0,11
19,2,1,25,4
20,0,0,2,3
20,1,28,0,11
20,2,1,25,4
21,0,0,2,3
21,1,28,0,11
21,2,0,26,4
22,0,0,2,3
22,1,28,0,11
22,2,0,26,4
23,0,0,2,3
23,1,29,1,11
23,2,0,26,4
24,0,0,2,3
24,1,29,1,11
24,2,1,27,3
25,0,0,1,2
25,1,29,1,11
25,2,1,27,3
26,0,0,1,2
26,1,28,2,11
26,2,1,27,3
27,0,0,1,2
27,1,28,2,11
27,2,0,26,4
28,0,0,1,2
28,1,28,2,11
28,2,0,26,4
29,0,0,1,2
29,1,28,1,11
29,2,0,26,4
30,0,0,1,2
30,1,28,1,11
30,2,0,25,5
31,0,0,1,2
31,1,28,1,11
31,2,0,25,5
32,0,0,1,2
32,1,28,1,11
32,2,0,25,5
33,0,0,1,2
33,1,28,1,11
33,2,1,26,5
34,0,0,1,2
34,1,28,1,11
34,2,1,26,5
35,0,0,1,2
35,1,29,0,10
35,2,1,26,5
36,0,0,1,2
36,1,29,0,10
36,2,0,25,4
37,0,0,1,2
37,1,29,0,10
37,2,0,25,4
38,0,0,1,2
38,1,29,0,10
38,2,0,25,4
39,0,0,1,2
39,1,29,0,10
39,2,0,25,4
40,0,0,0,1
40,1,29,0,10
40,2,0,25,4
41,0,0,0,1
41,1,29,0,10
41,2,0,25,4
42,0,0,0,1
42,1,29,0,10
42,2,1,25,3
43,0,0,0,1
43,1,29,0,10
43,2,1,25,3
44,0,0,0,1
44,1,29,0,10
44,2,1,25,3
45,0,0,0,1
45,1,29,0,10
45,2,1,25,2
46,0,0,0,1
46,1,29,0,10
46,2,1,25,2
47,0,0,0,1
