step,drone_id,x,y,z
0,0,1,1,4
0,1,28,2,12
0,2,3,27,4
1,0,2,2,5
1,1,28,2,12
1,2,3,27,4
2,0,2,2,5
2,1,29,3,11
2,2,3,27,4
3,0,2,2,5
3,1,29,3,11
3,2,3,27,4
4,0,1,3,5
4,1,29,3,11
4,2,3,27,4
5,0,1,3,5
5,1,29,3,11
5,2,3,27,4
6,0,1,3,5
6,1,29,3,11
6,2,2,28,5
7,0,2,2,6
7,1,29,3,11
7,2,2,28,5
8,0,2,2,6
8,1,29,4,10
8,2,2,28,5
9,0,2,2,6
9,1,29,4,10
9,2,2,27,6
10,0,2,1,7
10,1,29,4,10
10,2,2,27,6
11,0,2,1,7
11,1,29,4,10
11,2,2,27,6
12,0,2,1,7
12,1,29,4,10
12,2,3,26,7
13,0,1,1,8
13,1,29,4,10
13,2,3,26,7
14,0,1,1,8
14,1,29,4,10
14,2,3,26,7
15,0,1,1,8
15,1,29,4,10
15,2,3,25,8
16,0,2,2,8
16,1,29,4,10
16,2,3,25,8
17,0,2,2,8
17,1,29,4,10
17,2,3,25,8
18,0,2,2,8
18,1,29,4,10
18,2,3,24,9
19,0,1,2,9
19,1,29,4,10
19,2,3,24,9
20,0,1,2,9
20,1,29,3,11
20,2,3,24,9
21,0,1,2,9
21,1,29,3,11
21,2,3,23,10
22,0,1,2,10
22,1,29,3,11
22,2,3,23,10
23,0,1,2,10
23,1,29,4,10
23,2,3,23,10
24,0,1,2,10
24,1,29,4,10
24,2,4,23,11
25,0,2,1,11
25,1,29,4,10
25,2,4,23,11
26,0,2,1,11
26,1,29,4,9
26,2,4,23,11
27,0,2,1,11
27,1,29,4,9
27,2,5,23,12
28,0,1,1,12
28,1,29,4,9
28,2,5,23,12
29,0,1,1,12
29,1,29,4,9
29,2,5,23,12
30,0,1,1,12
30,1,29,4,9
30,2,6,22,11
31,0,2,1,12
31,1,29,4,9
31,2,6,22,11
32,0,2,1,12
32,1,29,5,8
32,2,6,22,11
33,0,2,1,12
33,1,29,5,8
33,2,5,21,12
34,0,2,0,12
34,1,29,5,8
34,2,5,21,12
35,0,2,0,12
35,1,29,5,8
35,2,5,21,12
36,0,2,0,12
36,1,29,5,8
36,2,5,20,13
37,0,2,0,12
37,1,29,5,8
37,2,5,20,13
38,0,2,0,12
38,1,29,5,8
38,2,5,20,13
39,0,2,0,12
39,1,29,5,8
39,2,6,19,14
40,0,1,1,13
40,1,29,5,8
40,2,6,19,14
41,0,1,1,13
41,1,29,5,8
41,2,6,19,14
42,0,1,1,13
42,1,29,5,8
42,2,6,18,13
43,0,2,2,14
43,1,29,5,8
43,2,6,18,13
44,0,2,2,14
44,1,29,5,8
44,2,6,18,13
45,0,2,2,14
45,1,29,5,8
45,2,6,17,14
46,0,2,3,13
46,1,29,5,8
46,2,6,17,14
47,0,2,3,13
