run,algorithm,iteration,front_size,hypervolume,hypervolume_ratio
0,MOGWO,40,26,0.000000,0.000000
0,MOGWO,80,36,0.000000,0.000000
0,MOGWO,120,44,0.000000,0.000000
0,MOGWO,160,43,0.000000,0.000000
0,MOGWO,200,45,0.000000,0.000000
0,MOGWO,240,48,0.000000,0.000000
0,MOGWO,280,46,0.000000,0.000000
0,MOGWO,320,39,0.000000,0.000000
0,MOGWO,360,45,0.000000,0.000000
0,MOGWO,400,48,0.000000,0.000000
0,MOGWO,440,45,0.000000,0.000000
0,MOGWO,480,39,0.000000,0.000000
0,MOGWO,520,44,0.000000,0.000000
0,MOGWO,560,29,0.000000,0.000000
0,MOGWO,600,31,0.000000,0.000000
0,MOGWO,640,25,0.000000,0.000000
0,MOGWO,680,27,0.000000,0.000000
0,MOGWO,720,24,0.000000,0.000000
0,MOGWO,760,30,0.000000,0.000000
0,MOGWO,800,25,0.028275,0.021244
0,MOGWO,840,37,0.082554,0.062024
0,MOGWO,880,34,0.114154,0.085765
0,MOGWO,920,28,0.129077,0.096977
0,MOGWO,960,38,0.139399,0.104732
0,MOGWO,1000,45,0.168749,0.126784
0,MOGWO,1040,27,0.198185,0.148899
0,MOGWO,1080,44,0.215595,0.161980
0,MOGWO,1120,51,0.237702,0.178589
0,MOGWO,1160,60,0.242209,0.181975
0,MOGWO,1200,62,0.265213,0.199258
0,MOGWO,1240,45,0.307472,0.231009
0,MOGWO,1280,46,0.325474,0.244534
0,MOGWO,1320,55,0.340296,0.255670
0,MOGWO,1360,49,0.362516,0.272364
0,MOGWO,1400,52,0.366752,0.275547
0,MOGWO,1440,64,0.370422,0.278304
0,MOGWO,1480,64,0.377607,0.283702
0,MOGWO,1520,79,0.382407,0.287308
0,MOGWO,1560,75,0.387554,0.291175
0,MOGWO,1600,78,0.387746,0.291319
0,MOGWO,1640,76,0.389098,0.292335
0,MOGWO,1680,80,0.390648,0.293500
0,MOGWO,1720,76,0.393025,0.295286
0,MOGWO,1760,72,0.395296,0.296991
0,MOGWO,1800,76,0.397139,0.298376
0,MOGWO,1840,82,0.404823,0.304150
0,MOGWO,1880,73,0.407050,0.305822
0,MOGWO,1920,73,0.409217,0.307451
0,MOGWO,1960,75,0.409349,0.307550
0,MOGWO,2000,75,0.409349,0.307550
0,NSGA-II,40,51,0.000000,0.000000
0,NSGA-II,80,51,0.000000,0.000000
0,NSGA-II,120,42,0.000000,0.000000
0,NSGA-II,160,23,0.000000,0.000000
