run,algorithm,makespan,energy,radar_risk
0,MOGWO,916.000000,679.172933,1261.054242
0,MOGWO,581.000000,698.259641,0.000000
0,MOGWO,578.000000,691.231500,962.475732
0,MOGWO,923.000000,553.740341,962.475732
0,MOGWO,569.000000,705.950214,1408.882345
0,MOGWO,578.000000,721.856540,0.000000
0,MOGWO,920.000000,606.226574,1403.195582
0,MOGWO,917.000000,614.970285,2027.028641
0,MOGWO,925.000000,470.898248,1279.063235
0,MOGWO,581.000000,682.971804,1408.882345
0,MOGWO,921.000000,591.507228,154.099761
0,MOGWO,545.000000,817.601697,1402.674590
0,MOGWO,917.000000,623.465958,1408.882345
0,MOGWO,919.000000,567.621297,2336.579328
0,MOGWO,923.000000,523.116652,1703.546954
0,MOGWO,542.000000,773.149435,2336.361924
0,MOGWO,921.000000,571.555773,1408.882345
0,MOGWO,928.000000,436.619498,780.943423
0,MOGWO,540.000000,819.948825,1240.058331
0,MOGWO,924.000000,484.008356,0.000000
0,MOGWO,928.000000,431.050741,949.884092
0,MOGWO,921.000000,558.517401,1717.197069
0,MOGWO,918.000000,646.625933,929.669370
0,MOGWO,632.000000,671.088246,1408.882345
0,MOGWO,922.000000,573.905914,962.475732
0,MOGWO,918.000000,669.093048,0.000000
0,MOGWO,918.000000,613.433229,1408.882345
0,MOGWO,572.000000,743.612043,0.000000
0,MOGWO,919.000000,609.150440,1408.882345
0,MOGWO,920.000000,618.159051,310.979802
0,MOGWO,928.000000,441.248018,157.107321
0,MOGWO,920.000000,619.673470,0.000000
0,MOGWO,922.000000,579.075516,466.870214
0,MOGWO,922.000000,589.073707,0.000000
0,MOGWO,920.000000,560.122338,1872.908779
0,MOGWO,921.000000,617.276167,0.000000
0,MOGWO,916.000000,683.485565,620.969975
0,MOGWO,918.000000,613.409332,3735.084950
0,MOGWO,644.000000,636.135019,5059.430836
0,MOGWO,923.000000,555.664641,0.000000
0,MOGWO,656.000000,643.337493,4444.954928
0,MOGWO,656.000000,637.819125,4463.416425
0,MOGWO,926.000000,439.744465,466.870214
0,MOGWO,540.000000,820.161023,155.641749
0,MOGWO,919.000000,656.531173,0.000000
0,MOGWO,925.000000,475.270214,308.822919
0,MOGWO,919.000000,589.472691,1874.069947
0,MOGWO,923.000000,537.787474,1408.882345
0,MOGWO,629.000000,636.390670,5189.370727
0,MOGWO,548.000000,786.142412,949.884092
0,MOGWO,922.000000,586.023105,154.450378
0,MOGWO,923.000000,525.945624,1408.918818
0,MOGWO,548.000000,775.714002,1563.485337
0,MOGWO,549.000000,760.171102,2028.879002
0,MOGWO,921.000000,588.762473,1085.078244
0,MOGWO,542.000000,767.315465,5971.385087
0,MOGWO,925.000000,450.567785,1408.882345
0,MOGWO,926.000000,442.736218,309.151836
0,MOGWO,917.000000,648.773252,1236.653188
0,MOGWO,629.000000,651.535945,1717.956343
0,MOGWO,540.000000,770.518197,5078.022997
0,MOGWO,656.000000,632.474945,5497.920787
0,MOGWO,617.000000,668.822085,1562.763687
0,MOGWO,926.000000,432.181278,789.497121
0,MOGWO,617.000000,668.733295,2180.255394
0,MOGWO,536.000000,778.544876,1564.524094
0,MOGWO,926.000000,416.849788,962.475732
0,MOGWO,926.000000,443.962138,0.000000
0,MOGWO,656.000000,647.626619,3741.374166
0,MOGWO,617.000000,662.731695,2276.628034
0,MOGWO,920.000000,601.100533,1719.594962
0,MOGWO,922.000000,540.763562,1408.882345
0,MOGWO,926.000000,402.224398,1408.882345
0,MOGWO,926.000000,441.540907,465.781284
0,MOGWO,617.000000,697.320198,153.881342
0,NSGA-II,928.000000,521.943309,0.000000
0,NSGA-II,924.000000,552.147215,0.000000
0,NSGA-II,919.000000,557.691267,0.000000
0,NSGA-II,916.000000,624.710642,0.000000
0,NSGA-II,296.000000,698.610792,0.000000
0,NSGA-II,281.000000,698.969895,0.000000
0,NSGA-II,296.000000,694.808196,154.158004
0,NSGA-II,923.000000,556.515683,154.531038
0,NSGA-II,926.000000,544.976861,154.748714
0,NSGA-II,923.000000,498.985560,307.720113
0,NSGA-II,915.000000,665.227310,308.943082
0,NSGA-II,927.000000,494.257072,311.557699
0,NSGA-II,914.000000,654.123399,466.346914
0,NSGA-II,926.000000,473.472557,619.734291
0,NSGA-II,293.000000,658.413720,774.886010
0,NSGA-II,915.000000,637.926708,778.193577
0,NSGA-II,918.000000,601.777236,930.071898
0,NSGA-II,914.000000,650.679101,2217.252798
0,NSGA-II,915.000000,611.074350,2258.634284
0,NSGA-II,921.000000,534.770582,2390.011289
0,NSGA-II,915.000000,595.265310,2664.287724
0,NSGA-II,915.000000,587.230731,3434.341586
0,NSGA-II,915.000000,576.281764,4076.925138
0,NSGA-III,244.000000,595.082606,2813.573339
0,NSGA-III,243.000000,646.988265,154.917457
0,NSGA-III,238.000000,598.364422,1088.657927
0,NSGA-III,245.000000,575.861770,0.000000
1,MOGWO,732.000000,1436.644102,0.000000
1,MOGWO,911.000000,1009.829529,2501.355182
1,MOGWO,910.000000,977.443096,5167.102154
1,MOGWO,909.000000,1014.258051,9247.348403
1,MOGWO,903.000000,1224.841648,14333.027631
1,MOGWO,904.000000,1087.487506,18366.586386
1,MOGWO,789.000000,1286.593060,1084.754257
1,MOGWO,905.000000,1028.774367,7348.055795
1,MOGWO,707.000000,1356.695418,308.900757
1,MOGWO,756.000000,1298.267751,4658.528276
1,MOGWO,816.000000,1273.621353,462.584095
1,MOGWO,819.000000,1274.870789,154.602992
1,MOGWO,905.000000,1135.463319,4232.830140
1,MOGWO,908.000000,1178.986412,462.129397
1,MOGWO,904.000000,1169.939246,4068.955462
1,MOGWO,909.000000,1009.165319,10549.351456
1,MOGWO,909.000000,1055.660695,4353.233403
1,MOGWO,906.000000,1119.611385,773.257635
1,MOGWO,905.000000,1129.779549,4562.360931
1,MOGWO,907.000000,1006.672929,10817.307187
1,MOGWO,911.000000,879.303501,7400.776373
1,MOGWO,909.000000,930.358943,14248.087717
1,MOGWO,707.000000,1323.914494,467.830768
1,MOGWO,910.000000,1051.792088,4292.237076
1,MOGWO,906.000000,1070.054346,6083.961908
1,MOGWO,905.000000,1099.759827,6602.769161
1,MOGWO,907.000000,1058.308201,5646.047324
1,MOGWO,907.000000,1012.608637,10728.190087
1,MOGWO,905.000000,1153.165414,2499.017472
1,MOGWO,905.000000,1182.865282,1863.226386
1,MOGWO,906.000000,1070.289541,1877.951803
1,MOGWO,905.000000,1141.391966,3436.511024
1,MOGWO,911.000000,911.224810,4826.518970
1,MOGWO,765.000000,1341.335656,154.158004
1,MOGWO,909.000000,1061.706633,2507.202666
1,MOGWO,905.000000,1079.163177,7241.072025
1,MOGWO,905.000000,1101.506320,5656.133670
1,MOGWO,906.000000,1047.755461,7134.681738
1,MOGWO,908.000000,1030.829966,5050.344284
1,MOGWO,741.000000,1354.635162,0.000000
1,MOGWO,910.000000,1140.337895,463.774588
1,MOGWO,911.000000,934.150834,4676.642174
1,MOGWO,911.000000,908.677269,5470.004386
1,MOGWO,912.000000,878.843443,1084.911272
1,MOGWO,798.000000,1337.384223,309.588451
1,MOGWO,926.000000,758.280956,154.275027
1,MOGWO,927.000000,664.906268,0.000000
1,MOGWO,926.000000,749.322197,154.531038
1,MOGWO,804.000000,1330.376174,308.702753
1,MOGWO,765.000000,1291.514866,1391.796092
1,MOGWO,798.000000,1259.777883,1086.598787
1,MOGWO,918.000000,770.306973,4809.430215
1,MOGWO,924.000000,742.442331,155.534034
1,MOGWO,925.000000,763.012500,0.000000
1,MOGWO,910.000000,850.665935,8111.851239
1,MOGWO,911.000000,841.182489,7500.691675
1,MOGWO,912.000000,849.444244,1880.360612
1,MOGWO,804.000000,1285.429583,932.046335
1,MOGWO,735.000000,1387.851779,154.450378
1,MOGWO,907.000000,1019.657402,10645.146522
1,MOGWO,920.000000,722.625791,631.576599
1,MOGWO,912.000000,838.959467,7426.827277
1,MOGWO,913.000000,800.918091,310.325601
1,MOGWO,914.000000,794.441164,310.325601
1,MOGWO,912.000000,848.578811,7402.908482
1,MOGWO,914.000000,803.385901,0.000000
1,MOGWO,913.000000,832.362763,0.000000
1,MOGWO,912.000000,838.674089,7736.999252
1,MOGWO,810.000000,1295.255298,308.702753
1,MOGWO,735.000000,1431.508347,0.000000
1,MOGWO,905.000000,1139.007765,4048.765379
1,MOGWO,918.000000,773.864734,464.662428
1,MOGWO,915.000000,794.718928,0.000000
1,MOGWO,918.000000,775.560112,154.336827
1,MOGWO,920.000000,770.306112,0.000000
1,MOGWO,920.000000,759.425958,154.336827
1,MOGWO,917.000000,782.110046,0.000000
1,MOGWO,904.000000,1121.690617,9851.465231
1,MOGWO,916.000000,780.959262,1251.696619
1,MOGWO,917.000000,774.459101,1564.099828
1,MOGWO,722.000000,1389.325700,154.450378
1,NSGA-II,928.000000,532.890135,0.000000
1,NSGA-II,927.000000,563.648495,0.000000
1,NSGA-II,926.000000,589.946300,0.000000
1,NSGA-II,919.000000,618.368134,0.000000
1,NSGA-II,918.000000,670.845253,0.000000
1,NSGA-II,917.000000,709.510136,0.000000
1,NSGA-II,914.000000,741.490621,0.000000
1,NSGA-II,912.000000,748.447250,0.000000
1,NSGA-II,364.000000,751.834956,0.000000
1,NSGA-II,343.000000,781.273097,0.000000
1,NSGA-II,916.000000,647.482021,154.099761
1,NSGA-II,914.000000,715.970948,154.535147
1,NSGA-II,927.000000,544.087977,308.633195
1,NSGA-II,928.000000,531.186427,308.692146
1,NSGA-II,924.000000,572.180710,309.222025
1,NSGA-II,927.000000,483.370901,309.980980
1,NSGA-II,910.000000,744.287017,618.401386
1,NSGA-II,915.000000,708.445828,629.041474
1,NSGA-II,923.000000,614.911075,629.163039
1,NSGA-II,921.000000,576.461624,641.173101
1,NSGA-II,361.000000,750.108269,940.776914
1,NSGA-II,926.000000,559.019010,1257.547217
1,NSGA-II,926.000000,547.015026,1420.791442
1,NSGA-II,927.000000,429.025484,1570.363100
1,NSGA-II,911.000000,698.888114,1719.994239
1,NSGA-II,443.000000,725.403825,2026.040123
1,NSGA-II,912.000000,648.486618,2029.758806
1,NSGA-II,356.000000,757.098362,2185.562339
1,NSGA-II,440.000000,716.555381,2317.235338
1,NSGA-II,917.000000,568.341022,2335.201336
1,NSGA-II,926.000000,472.521029,3454.381712
1,NSGA-III,260.000000,557.452181,1236.472679
1,NSGA-III,260.000000,559.527187,154.311672
1,NSGA-III,290.000000,552.284433,2658.886835
1,NSGA-III,233.000000,578.879795,931.975403
1,NSGA-III,241.000000,598.784387,154.214963
1,NSGA-III,233.000000,573.714717,1401.571487
1,NSGA-III,234.000000,626.669825,0.000000
1,NSGA-III,246.000000,594.533806,468.034538
1,NSGA-III,248.000000,576.123371,0.000000
1,NSGA-III,278.000000,557.141027,0.000000
1,NSGA-III,254.000000,572.864559,1930.056088
2,MOGWO,926.000000,606.581144,0.000000
2,MOGWO,917.000000,690.714614,0.000000
2,MOGWO,916.000000,734.530485,0.000000
2,MOGWO,915.000000,823.345144,0.000000
2,MOGWO,904.000000,982.873485,0.000000
2,MOGWO,818.000000,996.597893,0.000000
2,MOGWO,745.000000,1070.360779,0.000000
2,MOGWO,739.000000,1172.623886,0.000000
2,MOGWO,718.000000,1183.105682,0.000000
2,MOGWO,893.000000,976.978547,154.224757
2,MOGWO,848.000000,982.343224,154.224757
2,MOGWO,815.000000,1047.950956,154.365451
2,MOGWO,715.000000,1171.054234,154.791567
2,MOGWO,709.000000,1280.169994,154.791567
2,MOGWO,922.000000,635.457795,154.917457
2,MOGWO,917.000000,673.064559,154.917457
2,MOGWO,916.000000,708.515590,154.917457
2,MOGWO,915.000000,723.498871,154.917457
2,MOGWO,815.000000,1007.406129,310.833451
2,MOGWO,927.000000,580.093051,464.696544
2,MOGWO,914.000000,973.906464,616.248627
2,MOGWO,914.000000,884.036135,618.415201
2,MOGWO,911.000000,953.814653,622.667563
2,MOGWO,724.000000,1167.816560,772.731273
2,MOGWO,739.000000,1054.288688,774.606195
2,MOGWO,916.000000,686.319096,775.247931
2,MOGWO,902.000000,961.518570,925.865433
2,MOGWO,909.000000,930.122083,927.823490
2,MOGWO,794.000000,986.058599,928.460100
2,MOGWO,927.000000,576.059726,930.999610
2,MOGWO,893.000000,975.437830,935.753899
2,MOGWO,913.000000,898.660646,1080.891381
2,MOGWO,927.000000,566.952388,1082.366831
2,MOGWO,896.000000,970.312330,1088.051769
2,MOGWO,913.000000,881.528184,1236.076865
2,MOGWO,912.000000,891.785601,1236.076865
2,MOGWO,794.000000,976.009061,1240.031911
2,MOGWO,912.000000,855.760416,1245.687761
2,MOGWO,926.000000,574.388948,1546.252808
2,MOGWO,893.000000,975.249747,1557.563583
2,MOGWO,908.000000,947.911866,1705.916525
2,MOGWO,914.000000,851.191519,1706.121084
2,MOGWO,921.000000,667.073089,1955.341999
2,MOGWO,910.000000,905.235454,2013.691276
2,MOGWO,914.000000,823.224494,2020.891107
2,MOGWO,909.000000,914.896985,2031.272327
2,MOGWO,908.000000,905.348391,2032.277211
2,MOGWO,906.000000,925.172008,2200.359918
2,MOGWO,904.000000,958.306546,2279.031513
2,MOGWO,918.000000,671.040384,2316.753867
2,MOGWO,913.000000,836.416781,2332.456959
2,MOGWO,913.000000,813.794857,2338.708951
2,MOGWO,904.000000,957.160913,2433.131274
2,MOGWO,904.000000,948.042939,2483.998443
2,MOGWO,909.000000,866.253038,2499.053759
2,MOGWO,903.000000,952.667464,2624.342881
2,MOGWO,911.000000,838.527059,2815.843080
2,MOGWO,906.000000,912.444484,2977.961193
2,MOGWO,905.000000,946.805946,3002.912913
2,MOGWO,914.000000,796.220608,3024.435885
2,MOGWO,903.000000,947.722744,3040.481348
2,MOGWO,905.000000,931.883683,3065.942159
2,MOGWO,905.000000,923.159248,3156.863874
2,MOGWO,906.000000,902.493128,3215.852323
2,MOGWO,905.000000,920.551795,3220.100163
2,MOGWO,918.000000,669.709286,3254.688489
2,MOGWO,914.000000,788.455099,3270.272340
2,MOGWO,904.000000,928.443041,3273.150620
2,MOGWO,907.000000,882.329811,3299.527112
2,MOGWO,910.000000,859.488251,3334.062018
2,MOGWO,921.000000,628.580718,3346.677350
2,MOGWO,904.000000,917.490007,3392.377174
2,MOGWO,904.000000,905.112238,3399.094123
2,MOGWO,912.000000,800.724225,3427.190624
2,MOGWO,918.000000,666.057468,3553.122111
2,MOGWO,910.000000,847.766091,3606.790375
2,MOGWO,906.000000,874.587658,3672.084047
2,MOGWO,918.000000,644.395321,3708.089218
2,MOGWO,902.000000,920.584762,3776.933879
2,MOGWO,903.000000,900.946979,3973.321595
2,MOGWO,905.000000,886.715718,4334.410312
2,MOGWO,917.000000,669.919386,4421.499955
2,MOGWO,904.000000,854.230114,5944.795160
2,MOGWO,914.000000,782.613426,6134.637476
2,MOGWO,910.000000,833.053378,6142.358255
2,MOGWO,927.000000,583.350825,0.000000
2,MOGWO,911.000000,830.288104,3333.101291
2,MOGWO,911.000000,849.444715,2014.525882
2,MOGWO,922.000000,608.549526,1546.252808
2,MOGWO,927.000000,555.344498,1546.252808
2,MOGWO,904.000000,862.519954,4666.345474
2,MOGWO,904.000000,875.982776,4514.577990
2,MOGWO,903.000000,903.332576,3436.170316
2,MOGWO,902.000000,940.557667,3490.882521
2,MOGWO,902.000000,894.491135,4984.007344
2,MOGWO,902.000000,916.262651,4045.432733
2,MOGWO,896.000000,959.536676,1552.308376
2,MOGWO,904.000000,889.300420,3889.946345
2,MOGWO,927.000000,581.170052,154.602992
