run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,51,0.120648,0.090645,3079
0,NSGA-II,11,0.600182,0.450926,1777
0,NSGA-III,10,1.287458,0.967287,1716
1,MOGWO,55,0.144447,0.108525,3096
1,NSGA-II,19,0.704806,0.529531,1745
1,NSGA-III,16,1.076013,0.808425,1746
2,MOGWO,31,0.326920,0.245620,3056
2,NSGA-II,14,0.443605,0.333287,1738
2,NSGA-III,10,1.282491,0.963554,1679
3,MOGWO,69,0.141888,0.106602,3150
3,NSGA-II,39,0.455847,0.342485,1759
3,NSGA-III,14,1.098487,0.825309,1727
4,MOGWO,56,0.194718,0.146295,3057
4,NSGA-II,58,0.285710,0.214658,1718
4,NSGA-III,26,1.169407,0.878593,1758
5,MOGWO,6,0.437151,0.328438,2987
5,NSGA-II,34,0.179666,0.134986,1773
5,NSGA-III,6,1.275922,0.958619,1838
6,MOGWO,75,0.199531,0.149910,3338
6,NSGA-II,21,1.252964,0.941371,1709
6,NSGA-III,18,0.861524,0.647276,1758
7,MOGWO,39,0.169594,0.127419,3044
7,NSGA-II,11,1.040976,0.782101,1722
7,NSGA-III,18,0.891299,0.669646,1738
8,MOGWO,69,0.139527,0.104829,3067
8,NSGA-II,17,0.951300,0.714726,1728
8,NSGA-III,10,1.192732,0.896117,1741
9,MOGWO,38,0.167943,0.126178,2977
9,NSGA-II,33,0.585619,0.439984,1724
9,NSGA-III,22,0.827497,0.621710,1746
