run,algorithm,iteration,front_size,hypervolume,hypervolume_ratio
0,MOGWO,10,20,0.000000,0.000000
0,MOGWO,20,31,0.000000,0.000000
0,MOGWO,30,28,0.000000,0.000000
0,MOGWO,40,24,0.000000,0.000000
0,MOGWO,50,26,0.000000,0.000000
0,MOGWO,60,30,0.000000,0.000000
0,MOGWO,70,31,0.000000,0.000000
0,MOGWO,80,25,0.000000,0.000000
0,MOGWO,90,24,0.000000,0.000000
0,MOGWO,100,22,0.000000,0.000000
0,MOGWO,110,20,0.000000,0.000000
0,MOGWO,120,24,0.000000,0.000000
0,MOGWO,130,34,0.000000,0.000000
0,MOGWO,140,39,0.000000,0.000000
0,MOGWO,150,38,0.000000,0.000000
0,MOGWO,160,40,0.000000,0.000000
0,MOGWO,170,44,0.000000,0.000000
0,MOGWO,180,51,0.000000,0.000000
0,MOGWO,190,45,0.000000,0.000000
0,MOGWO,200,45,0.000000,0.000000
0,MOGWO,210,32,0.000000,0.000000
0,MOGWO,220,36,0.000000,0.000000
0,MOGWO,230,19,0.000000,0.000000
0,MOGWO,240,23,0.000000,0.000000
0,MOGWO,250,18,0.000000,0.000000
0,MOGWO,260,10,0.000000,0.000000
0,MOGWO,270,8,0.000000,0.000000
0,MOGWO,280,4,0.000000,0.000000
0,MOGWO,290,8,0.000000,0.000000
0,MOGWO,300,3,0.014367,0.010794
0,MOGWO,310,6,0.014367,0.010794
0,MOGWO,320,5,0.034191,0.025688
0,MOGWO,330,7,0.034191,0.025688
0,MOGWO,340,7,0.034191,0.025688
0,MOGWO,350,7,0.034191,0.025688
0,MOGWO,360,8,0.034191,0.025688
0,MOGWO,370,8,0.034191,0.025688
0,MOGWO,380,13,0.059571,0.044756
0,MOGWO,390,10,0.061836,0.046458
0,MOGWO,400,12,0.067325,0.050582
0,MOGWO,410,11,0.071004,0.053346
0,MOGWO,420,6,0.076028,0.057121
0,MOGWO,430,7,0.097425,0.073197
0,MOGWO,440,7,0.097425,0.073197
0,MOGWO,450,6,0.099475,0.074737
0,MOGWO,460,7,0.099738,0.074935
0,MOGWO,470,10,0.099754,0.074946
0,MOGWO,480,12,0.100148,0.075242
0,MOGWO,490,8,0.108540,0.081548
0,MOGWO,500,8,0.108540,0.081548
0,NSGA-II,10,27,0.000000,0.000000
0,NSGA-II,20,30,0.000000,0.000000
0,NSGA-II,30,44,0.000000,0.000000
0,NSGA-II,40,51,0.000000,0.000000
0,NSGA-II,50,46,0.000000,0.000000
0,NSGA-II,60,42,0.000000,0.000000
0,NSGA-II,70,50,0.000000,0.000000
0,NSGA-II,80,51,0.000000,0.000000
0,NSGA-II,90,40,0.000000,0.000000
0,NSGA-II,100,45,0.000000,0.000000
0,NSGA-II,110,43,0.016188,0.012162
0,NSGA-II,120,42,0.016554,0.012437
0,NSGA-II,130,37,0.016554,0.012437
0,NSGA-II,140,28,0.016554,0.012437
0,NSGA-II,150,26,0.016554,0.012437
0,NSGA-II,160,23,0.016554,0.012437
0,NSGA-II,170,17,0.016554,0.012437
0,NSGA-II,180,20,0.019678,0.014784
0,NSGA-II,190,13,0.019678,0.014784
0,NSGA-II,200,21,0.023645,0.017764
0,NSGA-II,210,24,0.032145,0.024151
0,NSGA-II,220,16,0.033461,0.025140
0,NSGA-II,230,5,0.146898,0.110367
0,NSGA-II,240,6,0.168632,0.126695
0,NSGA-II,250,11,0.170954,0.128440
0,NSGA-II,260,15,0.179087,0.134551
0,NSGA-II,270,17,0.191297,0.143724
0,NSGA-II,280,22,0.204026,0.153288
0,NSGA-II,290,14,0.217381,0.163321
0,NSGA-II,300,12,0.305167,0.229277
0,NSGA-II,310,16,0.310336,0.233160
0,NSGA-II,320,18,0.314391,0.236207
0,NSGA-II,330,19,0.336757,0.253010
0,NSGA-II,340,9,0.511055,0.383963
0,NSGA-II,350,9,0.511055,0.383963
0,NSGA-II,360,9,0.546115,0.410304
0,NSGA-II,370,7,0.633436,0.475910
0,NSGA-II,380,4,0.687839,0.516784
0,NSGA-II,390,5,0.687842,0.516786
0,NSGA-II,400,5,0.688945,0.517614
0,NSGA-II,410,6,0.696062,0.522962
0,NSGA-II,420,7,0.719692,0.540715
0,NSGA-II,430,7,0.719692,0.540715
0,NSGA-II,440,7,0.726735,0.546006
0,NSGA-II,450,8,0.736799,0.553568
0,NSGA-II,460,8,0.736799,0.553568
0,NSGA-II,470,10,0.745310,0.559963
0,NSGA-II,480,11,0.748643,0.562466
0,NSGA-II,490,9,0.773434,0.581093
0,NSGA-II,500,9,0.773434,0.581093
0,NSGA-III,10,38,0.000000,0.000000
0,NSGA-III,20,37,0.000000,0.000000
0,NSGA-III,30,25,0.000000,0.000000
0,NSGA-III,40,21,0.000000,0.000000
0,NSGA-III,50,36,0.000000,0.000000
0,NSGA-III,60,25,0.000000,0.000000
0,NSGA-III,70,24,0.000000,0.000000
0,NSGA-III,80,26,0.000000,0.000000
0,NSGA-III,90,8,0.021523,0.016171
0,NSGA-III,100,16,0.029720,0.022329
0,NSGA-III,110,14,0.033845,0.025428
0,NSGA-III,120,11,0.081310,0.061089
0,NSGA-III,130,15,0.081609,0.061314
0,NSGA-III,140,23,0.193928,0.145701
0,NSGA-III,150,20,0.208603,0.156727
0,NSGA-III,160,13,0.212622,0.159746
0,NSGA-III,170,16,0.248268,0.186527
0,NSGA-III,180,19,0.248268,0.186527
0,NSGA-III,190,16,0.352631,0.264937
0,NSGA-III,200,8,0.480537,0.361035
0,NSGA-III,210,9,0.671874,0.504789
0,NSGA-III,220,13,0.673567,0.506061
0,NSGA-III,230,7,0.722719,0.542990
0,NSGA-III,240,7,0.742111,0.557559
0,NSGA-III,250,10,0.810158,0.608683
0,NSGA-III,260,4,0.849309,0.638098
0,NSGA-III,270,6,0.863807,0.648991
0,NSGA-III,280,8,0.878765,0.660229
0,NSGA-III,290,8,0.878765,0.660229
0,NSGA-III,300,10,0.893320,0.671165
0,NSGA-III,310,8,0.913618,0.686415
0,NSGA-III,320,10,0.915826,0.688074
0,NSGA-III,330,6,1.013622,0.761549
0,NSGA-III,340,4,1.040702,0.781895
0,NSGA-III,350,4,1.040702,0.781895
0,NSGA-III,360,5,1.042059,0.782914
0,NSGA-III,370,5,1.042059,0.782914
0,NSGA-III,380,6,1.042793,0.783466
0,NSGA-III,390,7,1.053699,0.791660
0,NSGA-III,400,8,1.053699,0.791660
0,NSGA-III,410,8,1.053756,0.791702
0,NSGA-III,420,7,1.075894,0.808335
0,NSGA-III,430,4,1.084282,0.814637
0,NSGA-III,440,4,1.092612,0.820896
0,NSGA-III,450,4,1.104944,0.830160
0,NSGA-III,460,4,1.104944,0.830160
0,NSGA-III,470,4,1.104944,0.830160
0,NSGA-III,480,4,1.104944,0.830160
0,NSGA-III,490,4,1.147667,0.862259
0,NSGA-III,500,4,1.147667,0.862259
1,MOGWO,10,20,0.000000,0.000000
1,MOGWO,20,22,0.000000,0.000000
1,MOGWO,30,31,0.000000,0.000000
1,MOGWO,40,25,0.000000,0.000000
1,MOGWO,50,23,0.000000,0.000000
1,MOGWO,60,21,0.000000,0.000000
1,MOGWO,70,24,0.000000,0.000000
1,MOGWO,80,28,0.000000,0.000000
1,MOGWO,90,26,0.000000,0.000000
1,MOGWO,100,24,0.000000,0.000000
1,MOGWO,110,26,0.000000,0.000000
1,MOGWO,120,28,0.000000,0.000000
1,MOGWO,130,21,0.000000,0.000000
1,MOGWO,140,27,0.000000,0.000000
1,MOGWO,150,26,0.000000,0.000000
1,MOGWO,160,31,0.000000,0.000000
1,MOGWO,170,22,0.006886,0.005174
1,MOGWO,180,29,0.006946,0.005219
1,MOGWO,190,32,0.019908,0.014957
1,MOGWO,200,21,0.019995,0.015023
1,MOGWO,210,25,0.022964,0.017253
1,MOGWO,220,15,0.071663,0.053841
1,MOGWO,230,10,0.127401,0.095718
1,MOGWO,240,16,0.131842,0.099055
1,MOGWO,250,18,0.134151,0.100790
1,MOGWO,260,5,0.235908,0.177241
1,MOGWO,270,18,0.250416,0.188141
1,MOGWO,280,14,0.265966,0.199824
1,MOGWO,290,10,0.288372,0.216658
1,MOGWO,300,13,0.335464,0.252039
1,MOGWO,310,12,0.338030,0.253967
1,MOGWO,320,14,0.348502,0.261835
1,MOGWO,330,19,0.413959,0.311014
1,MOGWO,340,22,0.413961,0.311015
1,MOGWO,350,20,0.415150,0.311908
1,MOGWO,360,16,0.425327,0.319555
1,MOGWO,370,22,0.437164,0.328448
1,MOGWO,380,16,0.438612,0.329536
1,MOGWO,390,15,0.445569,0.334763
1,MOGWO,400,17,0.446513,0.335472
1,MOGWO,410,14,0.459231,0.345027
1,MOGWO,420,7,0.489969,0.368121
1,MOGWO,430,7,0.490280,0.368355
1,MOGWO,440,9,0.493341,0.370654
1,MOGWO,450,5,0.515781,0.387514
1,MOGWO,460,5,0.529573,0.397876
1,MOGWO,470,6,0.529594,0.397892
1,MOGWO,480,6,0.529594,0.397892
1,MOGWO,490,5,0.529625,0.397915
1,MOGWO,500,5,0.529625,0.397915
1,NSGA-II,10,22,0.000000,0.000000
1,NSGA-II,20,30,0.000000,0.000000
1,NSGA-II,30,34,0.000000,0.000000
1,NSGA-II,40,29,0.000000,0.000000
1,NSGA-II,50,27,0.008912,0.006696
1,NSGA-II,60,35,0.008912,0.006696
1,NSGA-II,70,34,0.008912,0.006696
1,NSGA-II,80,37,0.015839,0.011900
1,NSGA-II,90,34,0.016537,0.012424
1,NSGA-II,100,30,0.016580,0.012457
1,NSGA-II,110,34,0.019003,0.014277
1,NSGA-II,120,35,0.019019,0.014289
1,NSGA-II,130,28,0.050833,0.038192
1,NSGA-II,140,29,0.056675,0.042581
1,NSGA-II,150,32,0.056712,0.042609
1,NSGA-II,160,29,0.056725,0.042619
1,NSGA-II,170,28,0.059317,0.044566
1,NSGA-II,180,38,0.059509,0.044710
1,NSGA-II,190,41,0.059746,0.044888
1,NSGA-II,200,31,0.059746,0.044888
1,NSGA-II,210,26,0.060097,0.045152
1,NSGA-II,220,25,0.060405,0.045383
1,NSGA-II,230,31,0.060723,0.045622
1,NSGA-II,240,31,0.061008,0.045836
1,NSGA-II,250,19,0.063371,0.047612
1,NSGA-II,260,23,0.063742,0.047891
1,NSGA-II,270,22,0.074723,0.056141
1,NSGA-II,280,29,0.074766,0.056173
1,NSGA-II,290,22,0.176213,0.132392
1,NSGA-II,300,25,0.176822,0.132849
1,NSGA-II,310,33,0.176925,0.132926
1,NSGA-II,320,25,0.178005,0.133738
1,NSGA-II,330,26,0.196449,0.147595
1,NSGA-II,340,26,0.196607,0.147714
1,NSGA-II,350,29,0.199390,0.149805
1,NSGA-II,360,28,0.202496,0.152138
1,NSGA-II,370,18,0.244098,0.183394
1,NSGA-II,380,19,0.375519,0.282133
1,NSGA-II,390,20,0.375977,0.282477
1,NSGA-II,400,23,0.383576,0.288186
1,NSGA-II,410,17,0.402930,0.302728
1,NSGA-II,420,18,0.418115,0.314136
1,NSGA-II,430,19,0.419383,0.315089
1,NSGA-II,440,19,0.419383,0.315089
1,NSGA-II,450,17,0.419543,0.315209
1,NSGA-II,460,18,0.419907,0.315482
1,NSGA-II,470,20,0.420030,0.315575
1,NSGA-II,480,19,0.448089,0.336656
1,NSGA-II,490,20,0.448091,0.336658
1,NSGA-II,500,23,0.467092,0.350933
1,NSGA-III,10,22,0.000000,0.000000
1,NSGA-III,20,38,0.000000,0.000000
1,NSGA-III,30,22,0.000000,0.000000
1,NSGA-III,40,21,0.000000,0.000000
1,NSGA-III,50,35,0.000000,0.000000
1,NSGA-III,60,34,0.000327,0.000246
1,NSGA-III,70,13,0.013072,0.009821
1,NSGA-III,80,22,0.013183,0.009904
1,NSGA-III,90,30,0.015309,0.011502
1,NSGA-III,100,34,0.032911,0.024726
1,NSGA-III,110,23,0.033655,0.025286
1,NSGA-III,120,18,0.061205,0.045984
1,NSGA-III,130,24,0.061205,0.045984
1,NSGA-III,140,29,0.074440,0.055928
1,NSGA-III,150,23,0.074443,0.055930
1,NSGA-III,160,20,0.074461,0.055944
1,NSGA-III,170,23,0.075417,0.056662
1,NSGA-III,180,20,0.075486,0.056713
1,NSGA-III,190,22,0.087532,0.065764
1,NSGA-III,200,25,0.127513,0.095803
1,NSGA-III,210,26,0.156165,0.117329
1,NSGA-III,220,26,0.250870,0.188482
1,NSGA-III,230,21,0.285383,0.214412
1,NSGA-III,240,16,0.362248,0.272163
1,NSGA-III,250,16,0.364149,0.273590
1,NSGA-III,260,20,0.381819,0.286866
1,NSGA-III,270,13,0.593103,0.445607
1,NSGA-III,280,14,0.598198,0.449435
1,NSGA-III,290,17,0.603610,0.453501
1,NSGA-III,300,15,0.658740,0.494921
1,NSGA-III,310,17,0.668423,0.502196
1,NSGA-III,320,19,0.669962,0.503352
1,NSGA-III,330,17,0.690064,0.518456
1,NSGA-III,340,18,0.709132,0.532781
1,NSGA-III,350,15,0.712968,0.535663
1,NSGA-III,360,10,0.766262,0.575704
1,NSGA-III,370,15,0.783752,0.588845
1,NSGA-III,380,15,0.783752,0.588845
1,NSGA-III,390,16,0.789349,0.593050
1,NSGA-III,400,17,0.789469,0.593139
1,NSGA-III,410,18,0.789538,0.593191
1,NSGA-III,420,20,0.789782,0.593375
1,NSGA-III,430,22,0.791525,0.594685
1,NSGA-III,440,22,0.791525,0.594685
1,NSGA-III,450,20,0.878469,0.660007
1,NSGA-III,460,19,0.881061,0.661954
1,NSGA-III,470,19,0.897504,0.674308
1,NSGA-III,480,19,0.900780,0.676769
1,NSGA-III,490,20,0.902442,0.678018
1,NSGA-III,500,21,0.902450,0.678024
2,MOGWO,10,27,0.011457,0.008608
2,MOGWO,20,37,0.011457,0.008608
2,MOGWO,30,37,0.011517,0.008653
2,MOGWO,40,43,0.014471,0.010872
2,MOGWO,50,45,0.014506,0.010899
2,MOGWO,60,49,0.014617,0.010982
2,MOGWO,70,44,0.015260,0.011465
2,MOGWO,80,37,0.015687,0.011786
2,MOGWO,90,36,0.018068,0.013575
2,MOGWO,100,37,0.043315,0.032543
2,MOGWO,110,32,0.043745,0.032866
2,MOGWO,120,34,0.044740,0.033614
2,MOGWO,130,32,0.046055,0.034602
2,MOGWO,140,34,0.046175,0.034692
2,MOGWO,150,33,0.078887,0.059269
2,MOGWO,160,38,0.079173,0.059484
2,MOGWO,170,47,0.079499,0.059729
2,MOGWO,180,48,0.080870,0.060759
2,MOGWO,190,42,0.081850,0.061495
2,MOGWO,200,51,0.082684,0.062122
2,MOGWO,210,50,0.084619,0.063575
2,MOGWO,220,26,0.096883,0.072790
2,MOGWO,230,33,0.097930,0.073576
2,MOGWO,240,32,0.099391,0.074674
2,MOGWO,250,32,0.100285,0.075345
2,MOGWO,260,41,0.110811,0.083254
2,MOGWO,270,55,0.118417,0.088968
2,MOGWO,280,56,0.122382,0.091947
2,MOGWO,290,54,0.123562,0.092834
2,MOGWO,300,59,0.127664,0.095916
2,MOGWO,310,61,0.130292,0.097890
2,MOGWO,320,66,0.136392,0.102474
2,MOGWO,330,69,0.136688,0.102696
2,MOGWO,340,68,0.140628,0.105656
2,MOGWO,350,73,0.140632,0.105659
2,MOGWO,360,70,0.141236,0.106112
2,MOGWO,370,52,0.143567,0.107864
2,MOGWO,380,41,0.151624,0.113917
2,MOGWO,390,45,0.152122,0.114291
2,MOGWO,400,50,0.152299,0.114424
2,MOGWO,410,49,0.153586,0.115391
2,MOGWO,420,70,0.154148,0.115813
2,MOGWO,430,70,0.162857,0.122357
2,MOGWO,440,81,0.163177,0.122597
2,MOGWO,450,91,0.168031,0.126244
2,MOGWO,460,94,0.168714,0.126758
2,MOGWO,470,93,0.168957,0.126940
2,MOGWO,480,98,0.170026,0.127743
