run,algorithm,makespan,energy,radar_risk
0,MOGWO,661.000000,1104.849916,0.000000
0,MOGWO,649.000000,1132.485775,464.372415
0,MOGWO,650.000000,1115.034016,0.000000
0,MOGWO,656.000000,1113.364203,0.000000
0,MOGWO,653.000000,1114.115904,0.000000
0,MOGWO,652.000000,1114.480859,154.158004
0,MOGWO,649.000000,1137.084688,0.000000
0,MOGWO,650.000000,1097.587900,154.207995
0,NSGA-II,924.000000,715.247623,0.000000
0,NSGA-II,920.000000,722.978208,0.000000
0,NSGA-II,389.000000,893.699788,0.000000
0,NSGA-II,431.000000,874.108697,309.232495
0,NSGA-II,383.000000,967.309815,623.424412
0,NSGA-II,925.000000,650.461403,1399.826514
0,NSGA-II,449.000000,870.807266,1611.970085
0,NSGA-II,527.000000,832.639206,1706.940746
0,NSGA-II,394.000000,881.930835,2011.731555
0,NSGA-III,307.000000,747.432223,0.000000
0,NSGA-III,310.000000,718.265946,5049.394765
0,NSGA-III,373.000000,728.163660,311.433986
0,NSGA-III,317.000000,722.179182,774.728809
1,MOGWO,711.000000,906.178294,0.000000
1,MOGWO,709.000000,864.858389,308.005120
1,MOGWO,712.000000,854.929359,0.000000
1,MOGWO,709.000000,883.661896,153.797125
1,MOGWO,703.000000,867.968583,308.005120
1,NSGA-II,923.000000,971.605485,0.000000
1,NSGA-II,919.000000,1002.455606,0.000000
1,NSGA-II,917.000000,1027.557257,0.000000
1,NSGA-II,915.000000,1057.818319,0.000000
1,NSGA-II,532.000000,1079.493713,0.000000
1,NSGA-II,511.000000,1123.200690,0.000000
1,NSGA-II,502.000000,1147.158547,0.000000
1,NSGA-II,914.000000,1004.203004,155.534034
1,NSGA-II,927.000000,911.408594,463.298755
1,NSGA-II,508.000000,1097.706204,464.971375
1,NSGA-II,921.000000,939.894514,465.321970
1,NSGA-II,928.000000,871.276117,616.309748
1,NSGA-II,920.000000,922.206033,618.281904
1,NSGA-II,912.000000,1060.467374,627.713393
1,NSGA-II,912.000000,1056.458795,773.792937
1,NSGA-II,925.000000,749.124108,775.180137
1,NSGA-II,919.000000,982.256116,776.257037
1,NSGA-II,919.000000,977.329811,1253.204503
1,NSGA-II,919.000000,868.339561,1390.684505
1,NSGA-II,910.000000,985.243249,1738.975767
1,NSGA-II,912.000000,866.673477,2322.069374
1,NSGA-II,924.000000,862.473839,3116.177608
1,NSGA-II,498.000000,1189.394215,9504.774249
1,NSGA-III,926.000000,781.876066,0.000000
1,NSGA-III,922.000000,807.706558,0.000000
1,NSGA-III,456.000000,1005.815304,1097.127594
1,NSGA-III,920.000000,845.872130,2968.581748
1,NSGA-III,920.000000,873.804201,463.380352
1,NSGA-III,919.000000,912.585029,0.000000
1,NSGA-III,921.000000,906.716198,0.000000
1,NSGA-III,452.000000,911.265095,2547.123360
1,NSGA-III,925.000000,764.065813,620.732087
1,NSGA-III,467.000000,929.006217,2239.062144
1,NSGA-III,464.000000,944.265714,1551.709989
1,NSGA-III,470.000000,971.122932,1085.678547
1,NSGA-III,440.000000,945.389160,1739.782063
1,NSGA-III,918.000000,880.042577,2351.202917
1,NSGA-III,920.000000,845.214636,6605.456402
1,NSGA-III,921.000000,825.924026,623.091658
1,NSGA-III,497.000000,941.871247,0.000000
1,NSGA-III,449.000000,941.675360,4386.588755
1,NSGA-III,473.000000,967.233731,0.000000
1,NSGA-III,455.000000,1017.834551,0.000000
1,NSGA-III,494.000000,957.766484,937.258995
2,MOGWO,921.000000,984.584755,0.000000
2,MOGWO,920.000000,1057.300424,0.000000
2,MOGWO,918.000000,1078.273353,0.000000
2,MOGWO,917.000000,1084.696726,0.000000
2,MOGWO,916.000000,1092.165271,0.000000
2,MOGWO,914.000000,1112.498805,0.000000
2,MOGWO,913.000000,1223.270695,0.000000
2,MOGWO,907.000000,1276.626236,0.000000
2,MOGWO,906.000000,1413.106185,0.000000
2,MOGWO,895.000000,1417.392172,0.000000
2,MOGWO,918.000000,1077.326347,154.061503
2,MOGWO,915.000000,1082.141069,154.533434
2,MOGWO,918.000000,1069.419702,154.982561
2,MOGWO,913.000000,1210.816045,307.635897
2,MOGWO,905.000000,1390.398774,310.359125
2,MOGWO,917.000000,1046.658584,463.265942
2,MOGWO,912.000000,1274.095987,463.607199
2,MOGWO,913.000000,1185.503041,465.774801
2,MOGWO,914.000000,1098.742607,466.188580
2,MOGWO,914.000000,1091.871023,616.730255
2,MOGWO,913.000000,1105.946464,616.730255
2,MOGWO,912.000000,1201.521073,617.910324
2,MOGWO,879.000000,1699.355337,618.402976
2,MOGWO,919.000000,1032.566709,619.562829
2,MOGWO,904.000000,1396.140778,620.992480
2,MOGWO,915.000000,1079.161419,622.083103
2,MOGWO,917.000000,1044.478514,772.575610
2,MOGWO,873.000000,1645.786545,773.469257
2,MOGWO,903.000000,1404.915191,774.467742
2,MOGWO,904.000000,1317.567484,776.324770
2,MOGWO,917.000000,1037.668704,785.487727
2,MOGWO,919.000000,1032.309048,790.709909
2,MOGWO,917.000000,1028.074282,804.923777
2,MOGWO,875.000000,1471.593715,925.351092
2,MOGWO,916.000000,1006.377133,936.801711
2,MOGWO,918.000000,996.593153,939.913993
2,MOGWO,914.000000,1066.516496,1088.874811
2,MOGWO,911.000000,1199.739151,1107.592711
2,MOGWO,903.000000,1401.415516,1246.579467
2,MOGWO,905.000000,1291.757762,1252.802189
2,MOGWO,908.000000,1242.073076,1398.322470
2,MOGWO,914.000000,1041.545924,1398.752334
2,MOGWO,918.000000,989.075211,1414.458072
2,MOGWO,902.000000,1395.855991,1548.950496
2,MOGWO,903.000000,1371.901162,1550.021842
2,MOGWO,903.000000,1361.959613,1702.266545
2,MOGWO,903.000000,1336.040840,1707.581660
2,MOGWO,916.000000,1005.650231,1739.733303
2,MOGWO,915.000000,1037.616522,2034.951934
2,MOGWO,903.000000,1287.188211,2118.533500
2,MOGWO,915.000000,1035.563044,2175.947463
2,MOGWO,904.000000,1243.251703,2191.290772
2,MOGWO,855.000000,1624.525537,2355.363004
2,MOGWO,903.000000,1277.622348,2426.807615
2,MOGWO,908.000000,1238.921588,2496.504536
2,MOGWO,910.000000,1228.554304,2527.027439
2,MOGWO,864.000000,1464.260135,2589.458225
2,MOGWO,903.000000,1247.365212,2665.612680
2,MOGWO,911.000000,1144.876755,2695.996289
2,MOGWO,911.000000,1142.118636,2824.491757
2,MOGWO,895.000000,1384.399748,2860.124686
2,MOGWO,903.000000,1224.715150,2902.366366
2,MOGWO,909.000000,1214.522456,3068.221405
2,MOGWO,902.000000,1353.522963,3169.616395
2,MOGWO,908.000000,1206.837504,3219.684756
