run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,8,0.108540,0.081548,6039
0,NSGA-II,9,0.773434,0.581093,3388
0,NSGA-III,4,1.147667,0.862259,3205
1,MOGWO,5,0.529625,0.397915,5753
1,NSGA-II,23,0.467092,0.350933,3422
1,NSGA-III,21,0.902450,0.678024,3387
2,MOGWO,100,0.170184,0.127861,6131
2,NSGA-II,33,0.612938,0.460509,3415
2,NSGA-III,20,1.303471,0.979317,3220
3,MOGWO,85,0.158316,0.118945,6272
3,NSGA-II,39,0.502924,0.377854,3406
3,NSGA-III,16,1.139632,0.856223,3306
4,MOGWO,100,0.300325,0.225639,6042
4,NSGA-II,20,0.416435,0.312874,3410
4,NSGA-III,21,1.243038,0.933913,3391
5,MOGWO,6,0.499685,0.375421,5926
5,NSGA-II,43,0.235038,0.176587,3479
5,NSGA-III,7,1.321869,0.993140,3166
6,MOGWO,40,0.140452,0.105524,5992
6,NSGA-II,26,1.137780,0.854831,3296
6,NSGA-III,25,0.866210,0.650796,3397
7,MOGWO,76,0.122753,0.092226,6165
7,NSGA-II,9,1.182979,0.888790,3280
7,NSGA-III,19,1.117745,0.839778,3336
8,MOGWO,39,0.280387,0.210659,5943
8,NSGA-II,29,0.975892,0.733202,3323
8,NSGA-III,11,1.152530,0.865913,3299
9,MOGWO,10,0.170386,0.128013,5815
9,NSGA-II,17,0.468505,0.351994,3365
9,NSGA-III,44,0.707012,0.531188,3388
10,MOGWO,93,0.226516,0.170185,6298
10,NSGA-II,14,1.078968,0.810644,3420
10,NSGA-III,13,1.158645,0.870507,3451
11,MOGWO,39,0.575879,0.432666,6178
11,NSGA-II,35,1.044956,0.785091,3420
11,NSGA-III,31,0.245236,0.184250,3538
12,MOGWO,85,0.114355,0.085917,6108
12,NSGA-II,12,1.304140,0.979819,3201
12,NSGA-III,15,0.520964,0.391408,3304
13,MOGWO,94,0.335835,0.252318,5961
13,NSGA-II,18,1.016780,0.763922,3399
13,NSGA-III,31,0.535265,0.402152,3493
14,MOGWO,55,0.159524,0.119853,6021
14,NSGA-II,28,0.587647,0.441508,3380
14,NSGA-III,3,1.263193,0.949055,3205
15,MOGWO,20,1.313733,0.987027,5342
15,NSGA-II,35,0.472106,0.354700,3381
15,NSGA-III,4,0.841341,0.632112,3279
16,MOGWO,100,0.362493,0.272346,5970
16,NSGA-II,12,0.950271,0.713952,3167
16,NSGA-III,29,0.782986,0.588269,3301
17,MOGWO,33,0.166767,0.125295,5862
17,NSGA-II,26,0.576039,0.432787,3446
17,NSGA-III,5,1.290889,0.969864,3230
18,MOGWO,32,0.221243,0.166223,5905
18,NSGA-II,21,0.757043,0.568778,3397
18,NSGA-III,6,1.258753,0.945720,3287
19,MOGWO,66,0.226893,0.170468,5920
19,NSGA-II,24,0.336997,0.253191,3441
19,NSGA-III,19,0.979957,0.736256,3362
