run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,51,0.120648,0.090645,3183
0,NSGA-II,11,0.600182,0.450926,1864
0,NSGA-III,10,1.287458,0.967287,1759
1,MOGWO,59,0.249348,0.187339,3144
1,NSGA-II,31,0.978296,0.735008,1793
1,NSGA-III,44,0.648123,0.486944,1824
2,MOGWO,81,0.331218,0.248849,3202
2,NSGA-II,7,1.156553,0.868935,1736
2,NSGA-III,5,1.207432,0.907162,1820
3,MOGWO,31,0.792012,0.595050,3285
3,NSGA-II,38,0.210652,0.158266,1861
3,NSGA-III,49,0.317836,0.238795,1850
4,MOGWO,3,1.049174,0.788260,2885
4,NSGA-II,14,0.502156,0.377277,1810
4,NSGA-III,8,1.055308,0.792868,1907
5,MOGWO,62,0.177816,0.133596,3192
5,NSGA-II,16,1.286690,0.966709,1845
5,NSGA-III,39,0.538759,0.404778,1870
6,MOGWO,95,0.169703,0.127500,3211
6,NSGA-II,25,1.012244,0.760514,1816
6,NSGA-III,24,0.660460,0.496213,1801
7,MOGWO,99,0.157944,0.118665,3163
7,NSGA-II,7,1.326918,0.996933,1774
7,NSGA-III,14,0.787351,0.591548,1750
8,MOGWO,73,0.175350,0.131743,3218
8,NSGA-II,32,0.754937,0.567196,1771
8,NSGA-III,22,0.194433,0.146080,1809
9,MOGWO,53,0.166424,0.125037,3154
9,NSGA-II,48,0.135461,0.101774,1860
9,NSGA-III,11,1.249746,0.938952,1807
