run,algorithm,makespan,energy,radar_risk
0,MOGWO,661.000000,1104.849916,0.000000
0,MOGWO,649.000000,1132.485775,464.372415
0,MOGWO,650.000000,1115.034016,0.000000
0,MOGWO,656.000000,1113.364203,0.000000
0,MOGWO,653.000000,1114.115904,0.000000
0,MOGWO,652.000000,1114.480859,154.158004
0,MOGWO,649.000000,1137.084688,0.000000
0,MOGWO,650.000000,1097.587900,154.207995
0,NSGA-II,924.000000,715.247623,0.000000
0,NSGA-II,920.000000,722.978208,0.000000
0,NSGA-II,389.000000,893.699788,0.000000
0,NSGA-II,431.000000,874.108697,309.232495
0,NSGA-II,383.000000,967.309815,623.424412
0,NSGA-II,925.000000,650.461403,1399.826514
0,NSGA-II,449.000000,870.807266,1611.970085
0,NSGA-II,527.000000,832.639206,1706.940746
0,NSGA-II,394.000000,881.930835,2011.731555
0,NSGA-III,307.000000,747.432223,0.000000
0,NSGA-III,310.000000,718.265946,5049.394765
0,NSGA-III,373.000000,728.163660,311.433986
0,NSGA-III,317.000000,722.179182,774.728809
1,MOGWO,711.000000,1041.985956,774.747453
1,MOGWO,684.000000,997.784297,927.970119
1,MOGWO,717.000000,1071.944347,154.099761
1,MOGWO,675.000000,1137.474601,154.400440
1,MOGWO,717.000000,1013.898248,466.052439
1,MOGWO,714.000000,1113.133926,154.156564
1,MOGWO,786.000000,1058.869047,0.000000
1,MOGWO,690.000000,1122.353023,0.000000
1,MOGWO,675.000000,1151.543419,0.000000
1,MOGWO,669.000000,1110.940142,5927.264415
1,MOGWO,711.000000,1113.669509,154.275027
1,MOGWO,726.000000,1080.830176,0.000000
1,MOGWO,711.000000,1052.459342,154.450378
1,MOGWO,726.000000,1005.931437,466.052439
1,MOGWO,720.000000,1034.305092,463.434191
1,MOGWO,671.000000,1128.487338,3985.246750
1,MOGWO,729.000000,981.118448,8329.378513
1,MOGWO,660.000000,1135.620848,2649.541590
1,MOGWO,705.000000,1105.256109,154.748714
1,MOGWO,671.000000,1129.613385,463.806745
1,MOGWO,672.000000,1043.820693,3985.246750
1,MOGWO,756.000000,976.167174,929.964384
1,MOGWO,675.000000,1023.635722,4898.963565
1,MOGWO,684.000000,1113.800304,154.748714
1,MOGWO,681.000000,1012.751549,5527.213813
1,MOGWO,768.000000,966.008239,154.400440
1,MOGWO,711.000000,1091.043185,154.400440
1,MOGWO,687.000000,1109.448185,154.400440
1,MOGWO,687.000000,1132.285960,0.000000
1,MOGWO,711.000000,1117.840458,0.000000
1,MOGWO,705.000000,1080.202547,308.850818
1,MOGWO,738.000000,1000.687229,154.400440
1,MOGWO,913.000000,920.187801,154.400440
1,MOGWO,911.000000,919.911782,463.785383
1,MOGWO,735.000000,1044.202242,309.712996
1,MOGWO,765.000000,970.264275,154.400440
1,MOGWO,913.000000,918.005646,309.837685
1,MOGWO,672.000000,1071.430006,465.041418
1,MOGWO,810.000000,957.753451,1868.201094
1,MOGWO,789.000000,962.064218,2889.086340
1,MOGWO,911.000000,923.934780,309.557294
1,MOGWO,819.000000,949.737638,1084.405846
1,MOGWO,834.000000,961.927938,464.440677
1,MOGWO,771.000000,955.664819,3501.533707
1,MOGWO,732.000000,1048.551329,154.400440
1,MOGWO,792.000000,961.363615,3129.595050
1,MOGWO,912.000000,922.238813,309.225531
1,MOGWO,907.000000,916.884284,617.170120
1,MOGWO,825.000000,963.647234,928.666870
1,MOGWO,729.000000,1052.514859,154.400440
1,MOGWO,908.000000,931.321425,154.400440
1,MOGWO,906.000000,925.092153,927.768090
1,NSGA-II,928.000000,803.199786,0.000000
1,NSGA-II,926.000000,855.393545,0.000000
1,NSGA-II,925.000000,882.591286,0.000000
1,NSGA-II,924.000000,907.108785,0.000000
1,NSGA-II,923.000000,927.363344,0.000000
1,NSGA-II,617.000000,928.634139,0.000000
1,NSGA-II,601.000000,943.985987,0.000000
1,NSGA-II,514.000000,973.640149,0.000000
1,NSGA-II,494.000000,997.926822,0.000000
1,NSGA-II,478.000000,1037.800445,0.000000
1,NSGA-II,427.000000,1040.757086,0.000000
1,NSGA-II,363.000000,936.778025,154.224757
1,NSGA-II,763.000000,928.423122,307.955129
1,NSGA-II,457.000000,921.379108,308.576895
1,NSGA-II,415.000000,892.195677,464.059661
1,NSGA-II,464.000000,718.569087,616.605165
1,NSGA-II,928.000000,717.763097,2072.716831
1,NSGA-II,406.000000,922.045810,5211.222949
1,NSGA-III,916.000000,990.335775,308.981416
1,NSGA-III,913.000000,1044.140766,153.969379
1,NSGA-III,918.000000,961.839869,154.158004
1,NSGA-III,742.000000,1119.159223,0.000000
1,NSGA-III,586.000000,1231.834412,11087.951380
1,NSGA-III,700.000000,1089.973807,1705.779623
1,NSGA-III,633.000000,1253.991015,1565.517556
1,NSGA-III,703.000000,1143.274869,154.533434
1,NSGA-III,687.000000,1178.035595,928.335735
1,NSGA-III,708.000000,1189.610947,0.000000
1,NSGA-III,603.000000,1250.137379,3668.131709
1,NSGA-III,625.000000,1324.454688,2638.302983
1,NSGA-III,657.000000,1302.474155,154.336827
1,NSGA-III,916.000000,1010.107044,154.214963
1,NSGA-III,916.000000,896.477607,1718.026356
1,NSGA-III,914.000000,921.454797,4301.851882
1,NSGA-III,600.000000,1344.963361,8269.344886
1,NSGA-III,645.000000,1396.477717,463.739742
1,NSGA-III,912.000000,967.230624,2947.733516
1,NSGA-III,618.000000,1233.535953,2649.781542
1,NSGA-III,905.000000,1091.855071,465.951703
1,NSGA-III,642.000000,1345.291182,1088.274473
1,NSGA-III,910.000000,1035.900127,464.645474
1,NSGA-III,913.000000,1016.329999,154.533434
1,NSGA-III,921.000000,862.299574,0.000000
1,NSGA-III,911.000000,1054.868842,0.000000
1,NSGA-III,912.000000,976.280347,1082.876075
1,NSGA-III,601.000000,1356.857646,2325.306979
1,NSGA-III,625.000000,1348.286457,2190.807701
1,NSGA-III,673.000000,1226.887111,1237.328056
1,NSGA-III,730.000000,1189.261157,0.000000
1,NSGA-III,916.000000,935.007490,1430.546298
1,NSGA-III,912.000000,953.866088,3898.617559
1,NSGA-III,667.000000,1077.196900,4382.837184
1,NSGA-III,914.000000,1042.034045,0.000000
1,NSGA-III,657.000000,1408.619243,0.000000
1,NSGA-III,910.000000,1074.968165,0.000000
1,NSGA-III,679.000000,1343.998810,0.000000
1,NSGA-III,916.000000,1030.330197,0.000000
1,NSGA-III,919.000000,990.068288,0.000000
1,NSGA-III,685.000000,1144.081845,3930.586781
1,NSGA-III,729.000000,1017.091441,1081.422230
1,NSGA-III,693.000000,1176.703197,618.036931
1,NSGA-III,685.000000,1327.173452,0.000000
