run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,8,0.108540,0.081548,6237
0,NSGA-II,9,0.773434,0.581093,3581
0,NSGA-III,4,1.147667,0.862259,3692
1,MOGWO,52,0.489989,0.368136,6554
1,NSGA-II,18,1.266208,0.951321,3636
1,NSGA-III,47,0.498478,0.374514,3582
2,MOGWO,23,0.852945,0.640830,6055
2,NSGA-II,12,0.907340,0.681698,3933
2,NSGA-III,17,1.052089,0.790450,3437
3,MOGWO,36,0.207869,0.156175,6680
3,NSGA-II,57,0.256759,0.192907,3650
3,NSGA-III,48,0.847874,0.637020,3669
4,MOGWO,52,0.060473,0.045434,6543
4,NSGA-II,9,0.912412,0.685509,3462
4,NSGA-III,11,1.300003,0.976712,3340
5,MOGWO,100,0.149026,0.111965,6489
5,NSGA-II,14,1.305405,0.980770,3400
5,NSGA-III,14,0.852460,0.640466,3553
6,MOGWO,72,0.087487,0.065730,6091
6,NSGA-II,23,0.828666,0.622589,3424
6,NSGA-III,26,0.507762,0.381489,4919
7,MOGWO,39,0.111008,0.083402,6907
7,NSGA-II,7,1.322076,0.993296,3320
7,NSGA-III,13,0.948065,0.712296,3421
8,MOGWO,80,0.364864,0.274127,6402
8,NSGA-II,20,0.947968,0.712222,3478
8,NSGA-III,33,0.401774,0.301858,3462
9,MOGWO,58,0.681458,0.511989,5943
9,NSGA-II,89,0.156587,0.117646,3663
9,NSGA-III,4,1.263002,0.948912,3523
10,MOGWO,89,0.235134,0.176660,6248
10,NSGA-II,41,1.063589,0.799091,3588
10,NSGA-III,28,0.558632,0.419708,3598
11,MOGWO,96,0.106080,0.079699,6477
11,NSGA-II,9,1.284787,0.965280,4617
11,NSGA-III,22,0.605770,0.455124,3560
12,MOGWO,69,0.148373,0.111475,6369
12,NSGA-II,18,1.087294,0.816900,3442
12,NSGA-III,10,1.290803,0.969799,3457
13,MOGWO,66,0.171528,0.128871,6548
13,NSGA-II,8,1.324834,0.995367,3366
13,NSGA-III,25,0.563695,0.423512,3625
14,MOGWO,50,0.306967,0.230629,6230
14,NSGA-II,74,0.523941,0.393644,3616
14,NSGA-III,59,0.542704,0.407742,3701
15,MOGWO,91,0.283537,0.213025,6368
15,NSGA-II,30,0.981920,0.737731,3802
15,NSGA-III,55,0.312850,0.235049,3777
16,MOGWO,85,0.172738,0.129781,6623
16,NSGA-II,25,1.243151,0.933998,3533
16,NSGA-III,35,0.394493,0.296388,3771
17,MOGWO,14,0.161640,0.121443,6266
17,NSGA-II,27,1.054980,0.792622,3453
17,NSGA-III,11,1.002973,0.753548,3570
18,MOGWO,8,0.170430,0.128046,6128
18,NSGA-II,13,1.294382,0.972488,3593
18,NSGA-III,54,0.116703,0.087681,3682
19,MOGWO,31,0.242699,0.182343,6402
19,NSGA-II,32,0.842916,0.633295,3509
19,NSGA-III,25,1.104887,0.830118,3609
