run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,99,0.339960,0.255417,14828
0,NSGA-II,11,0.556725,0.418276,10207
0,NSGA-III,28,0.986158,0.740915,10388
1,MOGWO,86,0.150209,0.112854,15283
1,NSGA-II,6,1.330011,0.999257,9822
1,NSGA-III,25,0.984462,0.739641,10531
2,MOGWO,52,0.322512,0.242308,16015
2,NSGA-II,8,1.040790,0.781961,10120
2,NSGA-III,14,1.304067,0.979765,10415
3,MOGWO,61,0.226213,0.169957,15454
3,NSGA-II,19,1.241058,0.932426,9946
3,NSGA-III,18,1.093370,0.821465,10996
4,MOGWO,11,0.500323,0.375900,13898
4,NSGA-II,13,0.507351,0.381180,9876
4,NSGA-III,14,0.637793,0.479183,10171
5,MOGWO,117,0.374217,0.281155,15031
5,NSGA-II,23,0.973643,0.731513,10095
5,NSGA-III,8,0.994401,0.747108,10544
6,MOGWO,48,0.134368,0.100953,15088
6,NSGA-II,20,0.941821,0.707604,10013
6,NSGA-III,11,1.123698,0.844251,10479
7,MOGWO,19,0.217726,0.163581,14948
7,NSGA-II,25,0.846712,0.636147,9982
7,NSGA-III,11,0.957106,0.719088,10400
8,MOGWO,14,0.139973,0.105164,14910
8,NSGA-II,22,0.732467,0.550313,10106
8,NSGA-III,22,0.921000,0.691961,10370
9,MOGWO,13,0.769876,0.578420,13915
9,NSGA-II,10,0.981665,0.737539,10097
9,NSGA-III,17,0.689334,0.517907,10397
