run,algorithm,iteration,front_size,hypervolume,hypervolume_ratio
0,MOGWO,10,34,0.000000,0.000000
0,MOGWO,20,37,0.000000,0.000000
0,MOGWO,30,44,0.000000,0.000000
0,MOGWO,40,35,0.000000,0.000000
0,MOGWO,50,26,0.000000,0.000000
0,MOGWO,60,26,0.000000,0.000000
0,MOGWO,70,31,0.000000,0.000000
0,MOGWO,80,33,0.000000,0.000000
0,MOGWO,90,40,0.000000,0.000000
0,MOGWO,100,51,0.000000,0.000000
0,MOGWO,110,42,0.000000,0.000000
0,MOGWO,120,49,0.000000,0.000000
0,MOGWO,130,56,0.000000,0.000000
0,MOGWO,140,65,0.000000,0.000000
0,MOGWO,150,66,0.000000,0.000000
0,MOGWO,160,68,0.000000,0.000000
0,MOGWO,170,49,0.000000,0.000000
0,MOGWO,180,27,0.020207,0.015182
0,MOGWO,190,31,0.030174,0.022670
0,MOGWO,200,46,0.096613,0.072587
0,MOGWO,210,32,0.177272,0.133187
0,MOGWO,220,49,0.198526,0.149156
0,MOGWO,230,57,0.203172,0.152646
0,MOGWO,240,43,0.224762,0.168867
0,MOGWO,250,47,0.227778,0.171133
0,MOGWO,260,40,0.271563,0.204029
0,MOGWO,270,41,0.271615,0.204069
0,MOGWO,280,42,0.271913,0.204292
0,MOGWO,290,46,0.293783,0.220724
0,MOGWO,300,33,0.321501,0.241548
0,MOGWO,310,28,0.340225,0.255616
0,MOGWO,320,29,0.354195,0.266112
0,MOGWO,330,30,0.358880,0.269632
0,MOGWO,340,31,0.374919,0.281682
0,MOGWO,350,25,0.377142,0.283353
0,MOGWO,360,23,0.387127,0.290855
0,MOGWO,370,45,0.402003,0.302031
0,MOGWO,380,51,0.409100,0.307363
0,MOGWO,390,57,0.409132,0.307387
0,MOGWO,400,57,0.415950,0.312509
0,MOGWO,410,62,0.419325,0.315045
0,MOGWO,420,68,0.425734,0.319860
0,MOGWO,430,61,0.426882,0.320723
0,MOGWO,440,53,0.429204,0.322468
0,MOGWO,450,60,0.430837,0.323694
0,MOGWO,460,56,0.431155,0.323933
0,MOGWO,470,58,0.431266,0.324017
0,MOGWO,480,58,0.431336,0.324069
0,MOGWO,490,59,0.431341,0.324073
0,MOGWO,500,59,0.431591,0.324261
0,NSGA-II,10,34,0.000000,0.000000
0,NSGA-II,20,43,0.000000,0.000000
0,NSGA-II,30,56,0.000000,0.000000
0,NSGA-II,40,35,0.000000,0.000000
0,NSGA-II,50,44,0.000000,0.000000
0,NSGA-II,60,54,0.000000,0.000000
0,NSGA-II,70,43,0.005763,0.004330
0,NSGA-II,80,32,0.008478,0.006370
0,NSGA-II,90,30,0.023500,0.017656
0,NSGA-II,100,36,0.029270,0.021991
0,NSGA-II,110,42,0.029755,0.022355
0,NSGA-II,120,42,0.030340,0.022795
0,NSGA-II,130,11,0.032254,0.024233
0,NSGA-II,140,13,0.032258,0.024236
0,NSGA-II,150,4,0.034137,0.025648
0,NSGA-II,160,6,0.034137,0.025648
0,NSGA-II,170,7,0.034137,0.025648
0,NSGA-II,180,4,0.078241,0.058784
0,NSGA-II,190,7,0.079040,0.059384
0,NSGA-II,200,7,0.091266,0.068569
0,NSGA-II,210,7,0.099334,0.074631
0,NSGA-II,220,8,0.099418,0.074694
0,NSGA-II,230,9,0.155298,0.116678
0,NSGA-II,240,10,0.159393,0.119754
0,NSGA-II,250,11,0.168359,0.126490
0,NSGA-II,260,12,0.282186,0.212010
0,NSGA-II,270,15,0.283014,0.212633
0,NSGA-II,280,15,0.283045,0.212656
0,NSGA-II,290,16,0.283312,0.212856
0,NSGA-II,300,16,0.286332,0.215126
0,NSGA-II,310,16,0.308515,0.231792
0,NSGA-II,320,14,0.439098,0.329901
0,NSGA-II,330,1,0.640923,0.481535
0,NSGA-II,340,1,0.640923,0.481535
0,NSGA-II,350,1,0.640923,0.481535
0,NSGA-II,360,2,0.650403,0.488657
0,NSGA-II,370,3,0.650752,0.488920
0,NSGA-II,380,3,0.650752,0.488920
0,NSGA-II,390,4,0.650752,0.488920
0,NSGA-II,400,4,0.650752,0.488920
0,NSGA-II,410,5,0.686571,0.515831
0,NSGA-II,420,5,0.686571,0.515831
0,NSGA-II,430,8,0.687388,0.516445
0,NSGA-II,440,7,0.726152,0.545569
0,NSGA-II,450,9,0.730113,0.548544
0,NSGA-II,460,13,0.730762,0.549032
0,NSGA-II,470,9,0.760025,0.571018
0,NSGA-II,480,10,0.760251,0.571188
0,NSGA-II,490,11,0.763107,0.573333
0,NSGA-II,500,12,0.763652,0.573743
0,NSGA-III,10,28,0.000000,0.000000
0,NSGA-III,20,18,0.000000,0.000000
0,NSGA-III,30,28,0.000000,0.000000
0,NSGA-III,40,26,0.000000,0.000000
0,NSGA-III,50,25,0.000212,0.000159
0,NSGA-III,60,42,0.000212,0.000159
0,NSGA-III,70,45,0.000212,0.000159
0,NSGA-III,80,31,0.002130,0.001600
0,NSGA-III,90,30,0.005184,0.003895
0,NSGA-III,100,16,0.029000,0.021788
0,NSGA-III,110,12,0.050370,0.037844
0,NSGA-III,120,13,0.094067,0.070674
0,NSGA-III,130,15,0.130586,0.098111
0,NSGA-III,140,18,0.131260,0.098618
0,NSGA-III,150,14,0.151549,0.113861
0,NSGA-III,160,5,0.285659,0.214620
0,NSGA-III,170,7,0.308111,0.231488
0,NSGA-III,180,8,0.308111,0.231488
0,NSGA-III,190,12,0.366331,0.275230
0,NSGA-III,200,18,0.403408,0.303086
0,NSGA-III,210,14,0.459591,0.345298
0,NSGA-III,220,18,0.494945,0.371860
0,NSGA-III,230,19,0.499517,0.375295
0,NSGA-III,240,21,0.519949,0.390646
0,NSGA-III,250,28,0.522629,0.392659
0,NSGA-III,260,11,0.584179,0.438902
0,NSGA-III,270,12,0.584243,0.438950
0,NSGA-III,280,14,0.623720,0.468610
0,NSGA-III,290,19,0.774295,0.581740
0,NSGA-III,300,11,0.852124,0.640213
0,NSGA-III,310,14,0.861665,0.647382
0,NSGA-III,320,15,0.868058,0.652185
0,NSGA-III,330,8,0.893060,0.670969
0,NSGA-III,340,12,0.903427,0.678758
0,NSGA-III,350,13,0.903655,0.678929
0,NSGA-III,360,13,0.903655,0.678929
0,NSGA-III,370,11,0.955163,0.717628
0,NSGA-III,380,10,0.973100,0.731104
0,NSGA-III,390,14,0.978110,0.734869
0,NSGA-III,400,16,0.982832,0.738416
0,NSGA-III,410,16,0.982832,0.738416
0,NSGA-III,420,13,0.988612,0.742759
0,NSGA-III,430,15,0.988689,0.742817
0,NSGA-III,440,11,0.994116,0.746894
0,NSGA-III,450,11,1.000449,0.751652
0,NSGA-III,460,11,1.000449,0.751652
0,NSGA-III,470,11,1.000449,0.751652
0,NSGA-III,480,11,1.000449,0.751652
0,NSGA-III,490,11,1.004048,0.754356
0,NSGA-III,500,11,1.004048,0.754356
1,MOGWO,10,46,0.000000,0.000000
1,MOGWO,20,46,0.000000,0.000000
1,MOGWO,30,38,0.000000,0.000000
1,MOGWO,40,31,0.000000,0.000000
1,MOGWO,50,30,0.000000,0.000000
1,MOGWO,60,35,0.000000,0.000000
1,MOGWO,70,41,0.000000,0.000000
1,MOGWO,80,30,0.000000,0.000000
1,MOGWO,90,38,0.000000,0.000000
1,MOGWO,100,33,0.000000,0.000000
1,MOGWO,110,35,0.000000,0.000000
1,MOGWO,120,34,0.000000,0.000000
1,MOGWO,130,32,0.000000,0.000000
1,MOGWO,140,15,0.000000,0.000000
1,MOGWO,150,4,0.000000,0.000000
1,MOGWO,160,6,0.093586,0.070313
1,MOGWO,170,16,0.340544,0.255856
1,MOGWO,180,16,0.531768,0.399525
1,MOGWO,190,13,0.585349,0.439781
1,MOGWO,200,9,0.714300,0.536664
1,MOGWO,210,15,0.801333,0.602053
1,MOGWO,220,15,0.889144,0.668027
1,MOGWO,230,14,0.905921,0.680632
1,MOGWO,240,17,0.994560,0.747228
1,MOGWO,250,24,1.063063,0.798695
1,MOGWO,260,31,1.075652,0.808153
1,MOGWO,270,32,1.077995,0.809913
1,MOGWO,280,23,1.094631,0.822412
1,MOGWO,290,24,1.110616,0.834422
1,MOGWO,300,28,1.112702,0.835989
1,MOGWO,310,32,1.115723,0.838259
1,MOGWO,320,35,1.117505,0.839598
1,MOGWO,330,36,1.117986,0.839959
1,MOGWO,340,39,1.119306,0.840952
1,MOGWO,350,41,1.121367,0.842499
1,MOGWO,360,50,1.127715,0.847269
1,MOGWO,370,59,1.133524,0.851633
1,MOGWO,380,55,1.140236,0.856676
1,MOGWO,390,59,1.155585,0.868208
1,MOGWO,400,63,1.156100,0.868595
1,MOGWO,410,61,1.156346,0.868780
1,MOGWO,420,63,1.156415,0.868832
1,MOGWO,430,65,1.169115,0.878373
1,MOGWO,440,63,1.169397,0.878585
1,MOGWO,450,63,1.170052,0.879077
1,MOGWO,460,59,1.170275,0.879245
1,MOGWO,470,61,1.170394,0.879334
1,MOGWO,480,61,1.170413,0.879348
1,MOGWO,490,61,1.170413,0.879348
1,MOGWO,500,61,1.170450,0.879376
1,NSGA-II,10,40,0.000000,0.000000
1,NSGA-II,20,33,0.000000,0.000000
1,NSGA-II,30,18,0.000000,0.000000
1,NSGA-II,40,8,0.000000,0.000000
1,NSGA-II,50,8,0.000000,0.000000
1,NSGA-II,60,1,0.000000,0.000000
1,NSGA-II,70,5,0.000000,0.000000
1,NSGA-II,80,7,0.000000,0.000000
1,NSGA-II,90,8,0.052322,0.039310
1,NSGA-II,100,9,0.052322,0.039310
1,NSGA-II,110,7,0.078623,0.059071
1,NSGA-II,120,11,0.135755,0.101995
1,NSGA-II,130,15,0.203586,0.152957
1,NSGA-II,140,5,0.355383,0.267005
1,NSGA-II,150,7,0.362561,0.272397
1,NSGA-II,160,6,0.464316,0.348847
1,NSGA-II,170,5,0.557937,0.419186
1,NSGA-II,180,4,0.590770,0.443854
1,NSGA-II,190,5,0.658421,0.494681
1,NSGA-II,200,2,0.664875,0.499530
1,NSGA-II,210,3,0.703701,0.528701
1,NSGA-II,220,3,0.703701,0.528701
1,NSGA-II,230,3,0.703701,0.528701
1,NSGA-II,240,4,0.708356,0.532199
1,NSGA-II,250,6,0.745842,0.560362
1,NSGA-II,260,7,0.783345,0.588538
1,NSGA-II,270,9,0.789730,0.593336
1,NSGA-II,280,9,0.811590,0.609760
1,NSGA-II,290,11,0.842467,0.632958
1,NSGA-II,300,13,0.880440,0.661488
1,NSGA-II,310,7,0.882993,0.663405
1,NSGA-II,320,9,0.883080,0.663471
1,NSGA-II,330,10,0.889651,0.668408
1,NSGA-II,340,6,0.977739,0.734590
1,NSGA-II,350,7,1.010752,0.759393
1,NSGA-II,360,9,1.015221,0.762751
1,NSGA-II,370,10,1.015236,0.762762
1,NSGA-II,380,10,1.015236,0.762762
1,NSGA-II,390,11,1.058061,0.794937
1,NSGA-II,400,8,1.171525,0.880184
1,NSGA-II,410,9,1.174846,0.882679
1,NSGA-II,420,4,1.177340,0.884553
1,NSGA-II,430,5,1.190550,0.894478
1,NSGA-II,440,6,1.191138,0.894919
1,NSGA-II,450,6,1.191138,0.894919
